df_id,lat,lon,manual_id,state,source,elev2,country,ownership,tot,n2,p
231,49.02598,-105.83868,74939,Saskatchewan,Synthetic data,790,Canada,Tribal,51,46,0.9019607843137255
232,49.02672,-107.70902,66413,Saskatchewan,Synthetic data,810,Canada,State (Public),52,52,1
233,49.02729,-114.93393,71572,British Columbia,Synthetic data,1958,Canada,State (Public),50,50,1
234,49.0274,-104.84504,67505,Saskatchewan,Synthetic data,724,Canada,State (Public),52,52,1
235,49.02797,-111.51552,26412,Alberta,Synthetic data,1062,Canada,Corporate/Other (Private),51,51,1
236,49.02838,-121.03036,26413,British Columbia,Synthetic data,852,Canada,State (Public),50,50,1
237,49.02871,-115.46597,71390,British Columbia,Synthetic data,1733,Canada,State (Public),50,50,1
238,49.02988,-106.20645,26414,Saskatchewan,Synthetic data,922,Canada,Corporate/Other (Private),52,52,1
239,49.03074,-111.07272,26415,Alberta,Synthetic data,1064,Canada,Corporate/Other (Private),51,51,1
240,49.031,-122.712,50671,British Columbia,iNaturalist,18,Canada,Corporate/Other (Private),50,50,1
241,49.03203,-121.03936,69448,British Columbia,Synthetic data,733,Canada,State (Public),49,49,1
242,49.03223,-104.17075,75485,Saskatchewan,Synthetic data,688,Canada,Corporate/Other (Private),48,48,1
243,49.033,-122.687,50770,British Columbia,iNaturalist,48,Canada,Corporate/Other (Private),50,50,1
244,49.03323,-118.97177,26416,British Columbia,Synthetic data,813,Canada,Corporate/Other (Private),50,43,0.86
245,49.03359,-114.87372,71663,British Columbia,Synthetic data,1966,Canada,State (Public),50,50,1
246,49.03392,-106.95733,26418,Saskatchewan,Synthetic data,823,Canada,Corporate/Other (Private),50,50,1
247,49.03414,-105.7386,67141,Saskatchewan,Synthetic data,807,Canada,Corporate/Other (Private),50,50,1
248,49.0342,-124.04277,26419,British Columbia,Synthetic data,569,Canada,Corporate/Other (Private),51,51,1
249,49.03437,-104.00514,26420,Saskatchewan,Synthetic data,695,Canada,Corporate/Other (Private),51,51,1
250,49.03443,-119.61721,49080,British Columbia,Defoliation surveys,1213,Canada,State (Public),50,50,1
251,49.03507,-120.8865,26421,British Columbia,Synthetic data,1353,Canada,State (Public),50,50,1
252,49.03562,-125.27068,26422,British Columbia,Synthetic data,826,Canada,State (Public),50,50,1
253,49.03622,-119.15599,46105,British Columbia,Defoliation surveys,1028,Canada,Corporate/Other (Private),52,52,1
254,49.03757,-113.49375,26423,Alberta,Synthetic data,1394,Canada,Corporate/Other (Private),47,47,1
255,49.03851,-115.00067,26424,British Columbia,Synthetic data,2022,Canada,State (Public),50,50,1
