lat,lon,manual_id,source,elev2,avg_density,sd_density
36.05447,-119.16489,13342,Synthetic data,110,114.10952541090198,421.9179594508358
36.05477,-106.529,13343,Synthetic data,2937,0,0
36.05529,-106.70425,50128,Defoliation surveys,2788,0.004878048853176396,0.031234752843155304
36.05566,-121.77971,13344,Synthetic data,NA,NA,NA
36.05599,-105.95428,13345,Synthetic data,2130,0.16750000473111873,0.24949950668928253
36.05679,-116.13969,13346,Synthetic data,810,0,0
36.0576,-106.71492,50077,Defoliation surveys,2899,0,0
36.0584,-121.57255,13347,Synthetic data,583,0.752631570359594,1.8140199400375074
36.05943,-114.78275,13348,Synthetic data,372,0.4536585273539149,2.8729859794559927
36.05957,-107.82089,66361,Synthetic data,1948,0,0
36.05965,-107.19665,13349,Synthetic data,2255,0,0
36.06083,-112.30794,13350,Synthetic data,1921,0,0
36.06098,-121.82086,69132,Synthetic data,NA,NA,NA
36.06157,-111.60877,13351,Synthetic data,1621,0.03333333223348576,0.20081135503394124
36.06233,-114.60375,13352,Synthetic data,930,0,0
36.06335,-122.72476,60982,Synthetic data,NA,NA,NA
36.06444,-109.00933,73704,Synthetic data,2252,3.242499983683229,2.6381702270626133
36.06446,-116.05329,71156,Synthetic data,837,0,0
36.06508,-106.77295,13353,Synthetic data,3070,0,0
36.06523,-104.84182,13354,Synthetic data,2090,0.08500000126659871,0.03616202907283515
36.06631,-116.75323,70892,Synthetic data,-78,0,0
36.06674,-121.56364,61422,Synthetic data,683,0.23500000461935996,0.36201006005937364
36.06674,-119.11184,13355,Synthetic data,123,57.157499849796295,111.22468559434215
36.06754,-121.00846,61598,Synthetic data,158,0.4099999994039536,0.8813742074860735
36.06755,-120.22137,69660,Synthetic data,205,0.0871794880964817,0.28207827424761917
36.06798,-107.51076,66452,Synthetic data,2059,2.900000039115548,7.171131733679605
36.06803,-116.65986,13356,Synthetic data,1273,0,0
36.06829,-105.16124,47772,Defoliation surveys,2344,0.9100000035017728,1.454224661008604
36.06838,-106.57368,74614,Synthetic data,2965,0.03658536639882296,0.04876524224649336
36.06864,-116.67837,13357,Synthetic data,1127,0,0
36.06886,-105.16086,47773,Defoliation surveys,2343,0.8926829303183206,1.4402066700781981
36.06908,-105.1602,47774,Defoliation surveys,2349,0.8926829303183206,1.4402066700781981
36.06939,-118.24391,62566,Synthetic data,2376,0,0
36.06962,-107.28072,74341,Synthetic data,2167,0.10238095585788999,0.20893236361505635
36.07027,-107.90959,13358,Synthetic data,1943,0.17142857682137266,0.1581689705390916
36.07222,-111.36081,13359,Synthetic data,1404,0.6142857214879424,0.46881867104452984
36.07259,-116.96095,70804,Synthetic data,1095,0,0
36.07319,-105.16083,47775,Defoliation surveys,2376,0.7974999988451602,1.394216577136523
36.07417,-116.0191,13360,Synthetic data,762,0.5849999938160183,1.552095344048376
36.07502,-120.61199,61774,Synthetic data,816,0.20250000432133675,0.10974913400390582
36.0755,-118.34175,13361,Synthetic data,2319,0,0
36.07704,-109.21851,13362,Synthetic data,2335,1.4174999993294481,3.3706795723486933
36.07718,-109.14242,65815,Synthetic data,2207,0.27250000350177284,0.2882195583453305
36.07839,-105.67238,13363,Synthetic data,2879,0.11904762117635641,0.2670873620747062
36.07941,-109.57705,13364,Synthetic data,1703,3.773809559465873,4.77764407411221
36.08035,-110.08516,13365,Synthetic data,2121,4.095238058339983,8.283570595393394
36.08069,-114.34169,63995,Synthetic data,381,0.21428572280066355,0.1371689925083696
36.08072,-108.91639,49548,Defoliation surveys,2473,0.22380952537059784,0.2639378375868915
36.08098,-113.17919,13366,Synthetic data,1545,0,0
36.08177,-119.99915,13367,Synthetic data,76,1.8341463449888122,5.050525193586099
36.08186,-110.78865,13368,Synthetic data,1834,0.29000000264495607,1.143050364111996
