estimate,b1,b2,ci1,ci2,metric,thresh,lag_pr,lag_rh,lag_temp
0.9497057249866239,0.9455026750299539,0.9535965331773515,0.9456606218458726,0.9537508281273751,recall,0.15000000000000002,0,0,0
0.9149475625216088,0.9122852593342822,0.9175353786028344,0.9123225719074463,0.9175725531357714,accuracy,0.15000000000000002,0,0,0
0.7730836236933798,0.766012841974146,0.7800000443031165,0.7660893815943863,0.7800778657923733,precision,0.15000000000000002,0,0,0
0.902831742874017,0.8995463067507103,0.9060196629829131,0.8995951400584634,0.9060683456895706,specificity,0.15000000000000002,0,0,0
0.8523409363745498,NA,NA,0.8479423849683794,0.8567394877807202,F1,0.15000000000000002,0,0,0
0.9415908685571607,0.9370954679982031,0.9457796590675362,0.9372502933179765,0.9459314437963449,recall,0.17500000000000002,0,0,0
0.9249279704967155,0.9224101427182175,0.9273695196845791,0.9224483837559146,0.9274075572375163,accuracy,0.17500000000000002,0,0,0
0.8022946584606033,0.7954013811663754,0.8090090804476306,0.795490290691886,0.8090990262293206,precision,0.17500000000000002,0,0,0
0.9191197040813155,0.9160894107029701,0.922048538742337,0.9161402877422771,0.9220991204203539,specificity,0.17500000000000002,0,0,0
0.8663794871794872,NA,NA,0.8621080462298443,0.8706509281291301,F1,0.17500000000000002,0,0,0
0.9342785803459961,0.9295401733706585,0.9387154526377901,0.9296922275427526,0.9388649331492396,recall,0.2,0,0,0
0.9330183243056356,0.9306269364424979,0.9353319813832818,0.9306659341071389,0.9353707145041322,accuracy,0.2,0,0,0
0.8284833148821762,0.8218124035159486,0.8349519637159514,0.8219131759522091,0.8350534538121432,precision,0.2,0,0,0
0.9325790308041404,0.9297863651127517,0.9352669798806239,0.9298389453343573,0.9353191162739235,specificity,0.2,0,0,0
0.8782062028499581,NA,NA,0.8740563596525642,0.882356046047352,F1,0.2,0,0,0
0.9248261102193687,0.9197973759699734,0.9295598712158749,0.9199458908065624,0.9297063296321749,recall,0.225,0,0,0
0.9384810418347355,0.9361805153647984,0.940702856994654,0.9362200264970187,0.9407420571724522,accuracy,0.225,0,0,0
0.8502910551775027,0.8438474737702316,0.85651100844414,0.8439591086395354,0.85662300171547,precision,0.225,0,0,0
0.9432408069379254,0.9406584205675261,0.9457158960661987,0.9407123638197322,0.9457692500561187,specificity,0.225,0,0,0
0.8859937636153945,NA,NA,0.8819225327935715,0.8900649944372175,F1,0.225,0,0,0
0.9123417157125022,0.9069636123307672,0.9174335125647113,0.9071075068921272,0.9175759245328773,recall,0.25,0,0,0
0.9423302984902616,0.940096802488952,0.9444843922743289,0.9401366769612388,0.9445239200192844,accuracy,0.25,0,0,0
0.8707234042553191,0.8645340370884419,0.8766670986260102,0.8646569182410505,0.8767898902695878,precision,0.25,0,0,0
0.9527835628360947,0.9504106289086872,0.9550468898873956,0.9504658078410014,0.9551013178311879,specificity,0.25,0,0,0
0.891046855948441,NA,NA,0.8870168799749572,0.8950768319219249,F1,0.25,0,0,0
0.8996789727126806,0.8939791964685871,0.9051012334810865,0.8941184506794569,0.9052394947459043,recall,0.275,0,0,0
0.9438515615996312,0.9416453011872228,0.9459781467446077,0.9416853196543193,0.9460178035449431,accuracy,0.275,0,0,0
0.885,0.8790119589667147,0.8907250772003165,0.8791436880655412,0.8908563119344588,precision,0.275,0,0,0
0.9592490130863199,0.9570324632416005,0.9613543913460235,0.9570884918619872,0.9614095343106527,specificity,0.275,0,0,0
0.8922791191297427,NA,NA,0.8882383160134396,0.8963199222460457,F1,0.275,0,0,0
0.8889780631353665,0.8830280246748412,0.8946580154562436,0.8831633844971757,0.8947927417735574,recall,0.30000000000000004,0,0,0
0.9447735392416734,0.9425840012524583,0.9468832364794035,0.9426241071088076,0.9469229713745392,accuracy,0.30000000000000004,0,0,0
0.8964928057553957,0.8906916416096483,0.9020163399281222,0.8908309037258311,0.9021547077849603,precision,0.30000000000000004,0,0,0
0.9642224363557241,0.962136109976826,0.9661963876359483,0.9621928020780675,0.9662520706333808,specificity,0.30000000000000004,0,0,0
0.8927196203098415,NA,NA,0.888660887087908,0.896778353531775,F1,0.30000000000000004,0,0,0
0.8776529338327091,0.871456630069175,0.883587014368114,0.8715878894994653,0.883717978165953,recall,0.325,0,0,0
0.9445199953901118,0.9423258421834609,0.946634353353321,0.9423659239984886,0.9466740667817349,accuracy,0.325,0,0,0
0.9048450859612025,0.8991850832953364,0.9102152797883032,0.8993306101787245,0.9103595617436805,precision,0.325,0,0,0
0.9678281682260421,0.965842749032678,0.9697003398599651,0.9658999294391347,0.9697564070129495,specificity,0.325,0,0,0
0.8910416006518491,NA,NA,0.8869326802214754,0.8951505210822228,F1,0.325,0,0,0
0.865792759051186,0.8593566263606263,0.8719749030639509,0.8594836106296662,0.8721019074727059,recall,0.35000000000000003,0,0,0
0.9439207099227843,0.9417156979620108,0.9460460342047974,0.9417557229800998,0.9460856968654688,accuracy,0.35000000000000003,0,0,0
0.9127573563974805,0.907242708318094,0.9179698678968014,0.9073945938072776,0.9181201189876833,precision,0.35000000000000003,0,0,0
0.9711541450374561,0.9692675244242923,0.9729267134125316,0.969325162399471,0.9729831276754413,specificity,0.35000000000000003,0,0,0
0.8886549814653791,NA,NA,0.8844841523299547,0.8928258106008036,F1,0.35000000000000003,0,0,0
0.8542001070090958,0.8475454659872899,0.860608808284077,0.8476682869994813,0.8607319270187103,recall,0.375,0,0,0
0.9430217817217933,0.9408006113117209,0.9451634258006758,0.940840551206436,0.9452030122371506,accuracy,0.375,0,0,0
0.9196428571428571,0.9142643117091472,0.9247077114145904,0.9144221728625315,0.9248635414231827,precision,0.375,0,0,0
0.9739827795219297,0.9721852236198183,0.975665598927767,0.9722432577094741,0.9757223013343853,specificity,0.375,0,0,0
0.8857142857142857,NA,NA,0.8814742393079938,0.8899543321205775,F1,0.375,0,0,0
0.8446584626359908,0.8378346547664706,0.8512429557194322,0.8379540588332789,0.8513628664387026,recall,0.4,0,0,0
0.9426068917828743,0.9403783152844737,0.9447560164184096,0.9404182159198797,0.9447955676458688,accuracy,0.4,0,0,0
0.9268101761252446,0.9215968099196585,0.9316983780198221,0.9217606413055264,0.9318597109449629,precision,0.4,0,0,0
0.9767492462155357,0.9750440432424502,0.9783390435892595,0.9751024727826528,0.9783960196484186,specificity,0.4,0,0,0
0.88382942987776425,NA,NA,0.8795396328116439,0.8881192269438846,F1,0.4,0,0,0
0.8373461744248261,0.8303987585147616,0.8440593526574999,0.8305155492119248,0.8441767996377273,recall,0.42500000000000004,0,0,0
0.9424455456955169,0.9402140977560329,0.9445975707320752,0.9402539831286785,0.9446371082623553,accuracy,0.42500000000000004,0,0,0
