thresh,false_positive,true_negative,true_positive,false_negative,TPR,FPR,diff,maximized,lag_pr,lag_rh,lag_temp,filenum
0.95,3.108389543377576e-4,0.9996891610456622,0.3647226680934546,0.6352773319065453,0.3647226680934546,3.108389543377576e-4,0.3644118291391169,0,0,0,0,lag000
0.975,2.1758726803643033e-4,0.9997824127319636,0.2267701087925807,0.7732298912074193,0.2267701087925807,2.1758726803643033e-4,0.22655252152454428,0,0,0,0,lag000
1,0,1,9.8091671125379e-4,0.9990190832887462,9.8091671125379e-4,0,9.8091671125379e-4,0,0,0,0,lag000
0,1,0,1,0,1,1,0,0,10,10,10,lag101010
0.025,0.3756645008860012,0.6243354991139988,0.9866238630283574,0.01337613697164259,0.9866238630283574,0.3756645008860012,0.6109593621423561,0,10,10,10,lag101010
0.05,0.2883078931824541,0.7116921068175459,0.980203317281969,0.01979668271803103,0.980203317281969,0.2883078931824541,0.6918954240995149,0,10,10,10,lag101010
0.07500000000000001,0.2358939285603258,0.7641060714396742,0.9752987337257,0.02470126627429998,0.9752987337257,0.2358939285603258,0.7394048051653742,0,10,10,10,lag101010
0.1,0.1941741536357136,0.8058258463642863,0.9665596575708936,0.03344034242910648,0.9665596575708936,0.1941741536357136,0.7723855039351799,0,10,10,10,lag101010
0.125,0.15935586159728915,0.8406441384027109,0.9582664526484752,0.04173354735152488,0.9582664526484752,0.15935586159728915,0.798910591051186,0,10,10,10,lag101010
0.15000000000000002,0.1230453570429322,0.8769546429570678,0.951310861423221,0.04868913857677903,0.951310861423221,0.1230453570429322,0.8282655043802888,0,10,10,10,lag101010
0.17500000000000002,0.0976155687505829,0.9023844312494173,0.9446227929373996,0.05537720706260032,0.9446227929373996,0.0976155687505829,0.8470072241868168,0,10,10,10,lag101010
0.2,0.08235147822302359,0.9176485217769764,0.9332976636347424,0.06670233636525771,0.9332976636347424,0.08235147822302359,0.8509461854117187,1,10,10,10,lag101010
0.225,0.07162620076475891,0.9283737992352412,0.92027822364901,0.07972177635098983,0.92027822364901,0.07162620076475891,0.8486520228842512,0,10,10,10,lag101010
0.25,0.06186464388970062,0.9381353561102994,0.9087747458533976,0.09122525414660246,0.9087747458533976,0.06186464388970062,0.846910101963697,0,10,10,10,lag101010
0.275,0.05424814250629527,0.9457518574937048,0.894685214909934,0.105314785090066,0.894685214909934,0.05424814250629527,0.8404370724036387,0,10,10,10,lag101010
0.30000000000000004,0.04619641247240961,0.9538035875275904,0.88398430533262,0.11601569466738006,0.88398430533262,0.04619641247240961,0.8377878928602104,0,10,10,10,lag101010
0.325,0.04041408897317126,0.9595859110268288,0.8731050472623506,0.12689495273764936,0.8731050472623506,0.04041408897317126,0.8326909582891794,0,10,10,10,lag101010
0.35000000000000003,0.03631050455435695,0.9636894954456432,0.8648118423399322,0.13518815766006778,0.8648118423399322,0.03631050455435695,0.8285013377855753,0,10,10,10,lag101010
0.375,0.0328286753505145,0.9671713246494856,0.8561619404316033,0.14383805956839665,0.8561619404316033,0.0328286753505145,0.8233332650810888,0,10,10,10,lag101010
0.4,0.02944010942891783,0.9705598905710822,0.8482254324950954,0.1517745675049046,0.8482254324950954,0.02944010942891783,0.8187853230661776,0,10,10,10,lag101010
0.425,0.02611371902881835,0.9738862809711816,0.8391296593543784,0.16087034064562156,0.8391296593543784,0.02611371902881835,0.8130159403255601,0,10,10,10,lag101010
0.45,0.02350234712593651,0.9764976528740634,0.8304797574460496,0.16952024255395043,0.8304797574460496,0.02350234712593651,0.806977410320113,0,10,10,10,lag101010
0.475,0.02107750178754624,0.9789224982124538,0.8228999464954521,0.17710005350454788,0.8228999464954521,0.02107750178754624,0.8018224447079059,0,10,10,10,lag101010
0.5,0.01924332390337924,0.9807566760966208,0.8141608703406457,0.18583912965935437,0.8141608703406457,0.01924332390337924,0.7949175464372664,0,10,10,10,lag101010
