value,yhat,lb1,lb2,lb3,ub1,ub2,ub3,param,lag
1235.267578125,0.501382261562559,0.01125,0.02025,0.05625,0.99325,0.9335,0.892,max_biomass,0
1279.38427734375,0.501410567671308,0.01125,0.02025,0.05625,0.99325,0.9335,0.892,max_biomass,0
1323.5009765625,0.501431356180181,0.01125,0.02025,0.0565,0.99325,0.9335,0.892,max_biomass,0
1367.61767578125,0.501428860354235,0.01125,0.02025,0.0565,0.993,0.9335,0.89175,max_biomass,0
1411.734375,0.501471164604024,0.01125,0.02025,0.05675,0.993,0.9335,0.89175,max_biomass,0
1455.85107421875,0.501404065614404,0.01125,0.02025,0.057,0.99275,0.93325,0.8915,max_biomass,0
1499.9677734375,0.501190728436924,0.01125,0.02025,0.057,0.99175,0.933,0.89125,max_biomass,0
1544.08447265625,0.501295957622597,0.01125,0.02025,0.0575,0.99175,0.933,0.89125,max_biomass,0
1588.201171875,0.501309207015853,0.01125,0.02025,0.0575,0.9915,0.933,0.89125,max_biomass,0
1632.31787109375,0.501155507169045,0.01125,0.02025,0.05775,0.9899,0.93275,0.89125,max_biomass,0
1676.4345703125,0.501186408076148,0.01125,0.02025,0.05775,0.98975,0.93275,0.89125,max_biomass,0
1720.55126953125,0.501054103482107,0.01125,0.02025,0.058,0.9885,0.9325,0.891,max_biomass,0
1764.66796875,0.501054103482107,0.01125,0.02025,0.058,0.9885,0.9325,0.891,max_biomass,0
1808.78466796875,0.501138492521128,0.01125,0.02025,0.058,0.98925,0.9325,0.89125,max_biomass,0
1852.9013671875,0.50114933645455,0.01125,0.02025,0.058,0.9895,0.9325,0.89125,max_biomass,0
1897.01806640625,0.501155145704598,0.01125,0.02025,0.058,0.98965,0.9325,0.89125,max_biomass,0
1941.134765625,0.501155890149233,0.01125,0.02025,0.058,0.98965,0.9325,0.89125,max_biomass,0
1985.25146484375,0.501155890149233,0.01125,0.02025,0.058,0.98965,0.9325,0.89125,max_biomass,0
2029.3681640625,0.501155890149233,0.01125,0.02025,0.058,0.98965,0.9325,0.89125,max_biomass,0
2073.48486328125,0.501155890149233,0.01125,0.02025,0.058,0.98965,0.9325,0.89125,max_biomass,0
2117.6015625,0.501155890149233,0.01125,0.02025,0.058,0.98965,0.9325,0.89125,max_biomass,0
2161.71826171875,0.501155890149233,0.01125,0.02025,0.058,0.98965,0.9325,0.89125,max_biomass,0
2205.8349609375,0.501155890149233,0.01125,0.02025,0.058,0.98965,0.9325,0.89125,max_biomass,0
0,0.403681235692032,0,0,0.02025,0.852,0.797,0.74525,mean_biomass,0
10.8818778950552,0.435005761915417,2.5e-4,0.00175,0.0155,0.9719,0.91275,0.82125,mean_biomass,0
21.7637557901104,0.464348658278396,0.003,0.0085,0.0245,0.9915,0.95775,0.883,mean_biomass,0
32.6456336851656,0.473530887997659,0.007,0.01475,0.03275,0.99525,0.96925,0.897,mean_biomass,0
43.5275115802208,0.481491755168081,0.0095,0.019,0.0375,0.997,0.978,0.91525,mean_biomass,0
