metric,estimate,ci1,ci2,b1,b2,thresh,lag_pr,lag_rh,lag_temp,lag
accuracy,0.9330185622367264,0.9306613080516104,0.9353758164218424,0.9306221483578138,0.935336923278112,0.2,40,40,40,40
precision,0.8309466984884646,0.8243945030330211,0.8374988939439081,0.8242923392947011,0.8373960465958511,0.2,40,40,40,40
specificity,0.9335771442860716,0.930848359702479,0.936305928869664,0.9307953566902416,0.9362533864788868,0.2,40,40,40,40
F1,0.8783215607130844,NA,NA,NA,NA,0.2,40,40,40,40
brier,0.0486207251611466,NA,NA,NA,NA,0.2,40,40,40,40
log-likelihood,-7340.106778631861,NA,NA,NA,NA,0.2,40,40,40,40
AUC,0.9772556964956628,0.9758273046503796,0.978684088340946,NA,NA,0.225,4,4,4,4
recall,0.9201890494025324,0.9151731875384423,0.9252049112666226,0.915026395046273,0.9250599494998636,0.225,4,4,4,4
accuracy,0.9308699460605782,0.9284827986477292,0.9332570934734272,0.9284439996219316,0.9332185419904482,0.225,4,4,4,4
precision,0.8306367222088062,0.8240410658930507,0.8372323785245618,0.823937793834804,0.8371284085049203,0.225,4,4,4,4
specificity,0.9345933847301666,0.9318915036491184,0.9372952658112148,0.9318386620714576,0.9372428933906252,0.225,4,4,4,4
F1,0.8731226466979736,NA,NA,NA,NA,0.225,4,4,4,4
brier,0.04769286812646951,NA,NA,NA,NA,0.225,4,4,4,4
log-likelihood,-7420.700813212654,NA,NA,NA,NA,0.225,4,4,4,4
AUC,0.9770003709508942,0.9755693633132938,0.9784313785884946,NA,NA,0.225,5,5,5,5
recall,0.921259140360264,0.916274121838402,0.926244158882126,0.9161269325925816,0.9260988510155328,0.225,5,5,5,5
accuracy,0.93147085263813,0.9290933632895484,0.9338483419867116,0.9290545088775096,0.9338097398073896,0.225,5,5,5,5
precision,0.8317365751549795,0.8251574893201239,0.838315660989835,0.8250538469272521,0.8382113384696342,0.225,5,5,5,5
specificity,0.9350306195405514,0.932337196504468,0.9377240425766348,0.9322843008524196,0.93767162166228,0.225,5,5,5,5
F1,0.8742119737677173,NA,NA,NA,NA,0.225,5,5,5,5
brier,0.04861763072805016,NA,NA,NA,NA,0.225,5,5,5,5
log-likelihood,-7547.826309577832,NA,NA,NA,NA,0.225,5,5,5,5
AUC,0.9771591053847096,0.9757364878009194,0.9785817229684995,NA,NA,0.2,6,6,6,6
recall,0.932940966648832,0.9283114940080156,0.937570439289648,0.9281599433305712,0.9374213837525096,0.2,6,6,6,6
accuracy,0.9254068507675994,0.9229344600013883,0.9278792415338104,0.9228961716336864,0.9278411600721246,0.2,6,6,6,6
precision,0.8081260621041249,0.8013428433821232,0.8149092808261265,0.8012506689773926,0.8148161228729102,0.2,6,6,6,6
specificity,0.9227804028848544,0.9198632647921332,0.925697540977576,0.9198119212519184,0.9256465301550156,0.2,6,6,6,6
F1,0.8660596026490066,NA,NA,NA,NA,0.2,6,6,6,6
brier,0.04861302771598819,NA,NA,NA,NA,0.2,6,6,6,6
log-likelihood,-7508.171456535286,NA,NA,NA,NA,0.2,6,6,6,6
AUC,0.9764493997471008,0.9749869611510366,0.9779118383431652,NA,NA,0.225,7,7,7,7
recall,0.9180488674870696,0.9129721128416726,0.9231256221324668,0.912826112658642,0.922981353777946,0.225,7,7,7,7
accuracy,0.9294868839610898,0.9270777670693184,0.9318960008528612,0.9270390974984238,0.9318575681871204,0.225,7,7,7,7
precision,0.8279051065540812,0.8212706180011524,0.83453959510701,0.8211683227131262,0.8344365587250132,0.225,7,7,7,7
specificity,0.9334742601342948,0.9307509940868628,0.936197526181727,0.9306982950361176,0.9361452821423746,0.225,7,7,7,7
F1,0.8706499217725908,NA,NA,NA,NA,0.225,7,7,7,7
brier,0.04845600031118897,NA,NA,NA,NA,0.225,7,7,7,7
log-likelihood,-7520.698980750245,NA,NA,NA,NA,0.225,7,7,7,7
AUC,0.9763651543681388,0.9749031606237228,0.9778271481125548,NA,NA,0.225,8,8,8,8
recall,0.9187622614588908,0.913705688450384,0.9238188344673977,0.9135594243376892,0.9236743348000128,0.225,8,8,8,8
accuracy,0.9278963625466784,0.92546231190528,0.9303304131880769,0.9254237910575608,0.9302921173130954,0.225,8,8,8,8
precision,0.822923322683706,0.8162365851837448,0.8296100601836673,0.816136571473035,0.8295092342032188,0.225,8,8,8,8
specificity,0.9310805769709029,0.9283123066835564,0.9338488472582492,0.9282599120161438,0.9337968782816872,0.225,8,8,8,8
F1,0.8682059492710879,NA,NA,NA,NA,0.225,8,8,8,8
brier,0.04849145288368448,NA,NA,NA,NA,0.225,8,8,8,8
log-likelihood,-7516.493287758784,NA,NA,NA,NA,0.225,8,8,8,8
AUC,0.9761103130699406,0.9746500915632452,0.977570534576636,NA,NA,0.17500000000000002,9,9,9,9
recall,0.9425717852684145,0.938265570648834,0.9468779998879948,0.9381103708771216,0.9467259088093108,0.17500000000000002,9,9,9,9
accuracy,0.9158617828081418,0.9132495137087218,0.9184740519075618,0.91321211282213,0.9184367947014846,0.17500000000000002,9,9,9,9
precision,0.7785798467884502,0.7715954274012917,0.7855642661756086,0.7715161601634631,0.7854837463087698,0.17500000000000002,9,9,9,9
specificity,0.9065501911897286,0.903369394378494,0.9097309880009632,0.9033200896764184,0.9096818643468364,0.17500000000000002,9,9,9,9
F1,0.8527632109721662,NA,NA,NA,NA,0.17500000000000002,9,9,9,9
brier,0.04888848242462138,NA,NA,NA,NA,0.17500000000000002,9,9,9,9
log-likelihood,-7545.509438351892,NA,NA,NA,NA,0.17500000000000002,9,9,9,9
