metric,estimate,ci1,ci2,b1,b2,thresh,lag_pr,lag_rh,lag_temp,lag
recall,0.9222400570715178,0.9172835497401506,0.927196564402885,0.917135996438438,0.9270509396476015,0.225,2,2,2,2
accuracy,0.9321654949867466,0.9297992586886992,0.934531731284794,0.9297603409825472,0.934493071284516,0.225,2,2,2,2
precision,0.8331587851446065,0.8265998512405305,0.8397177190486825,0.8264956843006674,0.8396128949519408,0.225,2,2,2,2
specificity,0.9356252525566504,0.9329434146343626,0.9383070904789382,0.932890446468024,0.938254604695932,0.225,2,2,2,2
F1,0.8754391162652897,NA,NA,NA,NA,0.225,2,2,2,2
brier,0.04762833968105336,NA,NA,NA,NA,0.225,2,2,2,2
log-likelihood,-7339.308479056288,NA,NA,NA,NA,0.225,2,2,2,2
AUC,0.9773713514959552,0.9759503120116954,0.9787923909802152,NA,NA,0.225,22,22,22,22
recall,0.9215266630996968,0.916549397592149,0.9265039286072444,0.9164021090934326,0.9263585342809596,0.225,22,22,22,22
accuracy,0.9330044264109184,0.9306515656435228,0.9353572871783142,0.9306125611689798,0.9353185472355352,0.225,22,22,22,22
precision,0.836084142394822,0.8295576127599531,0.8426106720296909,0.8294520533100449,0.8425045016188892,0.225,22,22,22,22
specificity,0.9370064050743112,0.9343511635937354,0.9396616465548872,0.9342980042516096,0.9396089880442896,0.225,22,22,22,22
F1,0.8767285993043182,NA,NA,NA,NA,0.225,22,22,22,22
brier,0.047131333977891,NA,NA,NA,NA,0.225,22,22,22,22
log-likelihood,-7275.091930093768,NA,NA,NA,NA,0.225,22,22,22,22
AUC,0.97655979926256,0.9751067380013688,0.9780128605237516,NA,NA,0.225,23,23,23,23
recall,0.9152844658462636,0.9101305732008318,0.9204383584916952,0.909985594179524,0.920294988058654,0.225,23,23,23,23
accuracy,0.9311799695670218,0.928797564650526,0.9335623744835176,0.9287587294086398,0.9335237892888528,0.225,23,23,23,23
precision,0.8345393934466216,0.8279720172042828,0.8411067696889605,0.8278664366905096,0.8410005484453688,0.225,23,23,23,23
specificity,0.9367226368159204,0.93406174176469,0.9393835318671508,0.9340086153516396,0.9393309025559624,0.225,23,23,23,23
F1,0.8730489516437715,NA,NA,NA,NA,0.225,23,23,23,23
brier,0.04783868665992299,NA,NA,NA,NA,0.225,23,23,23,23
log-likelihood,-7400.941335296495,NA,NA,NA,NA,0.225,23,23,23,23
AUC,0.9771802024431224,0.975756092649098,0.978604312237147,NA,NA,0.225,24,24,24,24
recall,0.9138576779026216,0.9086646176051464,0.919050738200097,0.90852016470312,0.9189078321531282,0.225,24,24,24,24
accuracy,0.9336146467441432,0.9312715439726909,0.9359577495155956,0.931232475017172,0.935918950139013,0.225,24,24,24,24
precision,0.8426938574130417,0.836222741456948,0.8491649733691354,0.8361132803434804,0.8490550087658953,0.225,24,24,24,24
specificity,0.9405050693537352,0.9379194825692704,0.9430906561382,0.937865862114358,0.9430375851369072,0.225,24,24,24,24
F1,0.8768342245989306,NA,NA,NA,NA,0.225,24,24,24,24
brier,0.04798184662654491,NA,NA,NA,NA,0.225,24,24,24,24
log-likelihood,-7390.681148976429,NA,NA,NA,NA,0.225,24,24,24,24
AUC,0.9771907047428218,0.9757887952782816,0.978592614207362,NA,NA,0.225,25,25,25,25
recall,0.9143927233814876,0.9092143004548332,0.9195711463081416,0.9090696503300446,0.9194280660436024,0.225,25,25,25,25
accuracy,0.9335162807859052,0.9311714581114292,0.9358611034603816,0.9311323947760564,0.935822308946202,0.225,25,25,25,25
precision,0.842079329884208,0.8356022103647763,0.8485564494036396,0.8354930951377946,0.8484468201042826,0.225,25,25,25,25
specificity,0.9401866251944012,0.937594405710434,0.9427788446783684,0.9375408193996024,0.942725803387456,0.225,25,25,25,25
F1,0.8767474669744774,NA,NA,NA,NA,0.225,25,25,25,25
brier,0.04882145824301263,NA,NA,NA,NA,0.225,25,25,25,25
log-likelihood,-7466.881079911608,NA,NA,NA,NA,0.225,25,25,25,25
AUC,0.9774401483945546,0.9760410298446632,0.978839266944446,NA,NA,0.225,26,26,26,26
recall,0.9144818976279652,0.9093059201295642,0.919657875126366,0.909161237125978,0.9195147658339976,0.225,26,26,26,26
accuracy,0.9335454713152554,0.9312012349237344,0.9358897077067764,0.9311621724613562,0.935850914258568,0.225,26,26,26,26
precision,0.8420922975858105,0.8356156600686238,0.8485689351029972,0.8355065495344478,0.8484593107773083,0.225,26,26,26,26
specificity,0.9401940660571002,0.9376021587922276,0.9427859733219728,0.9375485782158256,0.9427329377578758,0.225,26,26,26,26
F1,0.876795485636115,NA,NA,NA,NA,0.225,26,26,26,26
brier,0.04846940288058015,NA,NA,NA,NA,0.225,26,26,26,26
log-likelihood,-7434.517728668516,NA,NA,NA,NA,0.225,26,26,26,26
AUC,0.9779099257137152,0.9765290418176946,0.9792908096097356,NA,NA,0.2,27,27,27,27
recall,0.9252719814517568,0.9204050835623556,0.9301388793411578,0.920256402676874,0.929992277460559,0.2,27,27,27,27
accuracy,0.9294904311736224,0.9270810370247116,0.9318998253225328,0.9270423563946062,0.9318613817473734,0.2,27,27,27,27
precision,0.8237535725627183,0.8170993310066343,0.8304078141188023,0.816999657229699,0.8303073464718193,0.2,27,27,27,27
