lat,lon,manual_id,modis_id,source,classification,short,total,Temperate or sub-polar grassland,Tropical or sub-tropical shrubland,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Cropland,Urban and Built-up,Barren Lands,Wetland,Temperate or sub-polar broadleaf deciduous forest,Water,Tropical or sub-tropical grassland,Snow and Ice,No data,Mixed Forest,Sub-polar or polar grassland-lichen-moss,Sub-polar or polar barren-lichen-moss,near_needle
47.83697956026299,-119.12228070915444,25018,8,Synthetic data,Temperate or sub-polar shrubland,temperature_shrub,1252,0.01437699680511182,NA,NA,0.4528753993610224,0.1597444089456869,NA,0.004792332268370607,NA,NA,0.3682108626198083,NA,NA,NA,NA,NA,NA,FALSE
47.83894,-120.96229,1498,1,Pheromone trapping,Temperate or sub-polar needleleaf forest,needleleaf,1256,0.01751592356687898,NA,0.6847133757961783,0.29777070063694266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
47.85399046353996,-111.17708956758725,25042,15,Synthetic data,Cropland,cropland,1256,0.29856687898089174,NA,NA,NA,0.7014331210191083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
47.883605709299445,-116.1519705489045,25076,1,Synthetic data,Temperate or sub-polar needleleaf forest,needleleaf,1258,NA,NA,0.9332273449920508,0.06677265500794913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
47.90291286277352,-105.12601582851494,25095,10,Synthetic data,Temperate or sub-polar grassland,temperature_grass,1254,0.8779904306220095,NA,NA,NA,0.12200956937799043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
47.926524721842725,-111.02262366673676,25123,15,Synthetic data,Cropland,cropland,1257,0.5242641209228321,NA,NA,0.00477326968973747,0.4709626093874304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
47.9770380303549,-118.6441229065078,43873,10,Defoliation surveys,Temperate or sub-polar grassland,temperature_grass,1250,0.0384,NA,0.148,0.6752,NA,NA,NA,NA,NA,0.1384,NA,NA,NA,NA,NA,NA,TRUE
47.98253,-120.34264,1459,8,Pheromone trapping,Temperate or sub-polar shrubland,temperature_shrub,1255,0.022310756972111555,NA,0.3641434262948207,0.5346613545816733,NA,NA,NA,NA,NA,0.07888446215139443,NA,NA,NA,NA,NA,NA,TRUE
47.99391600352001,-118.7558618037576,43822,8,Defoliation surveys,Temperate or sub-polar shrubland,temperature_shrub,1256,0.1265923566878981,NA,0.08678343949044585,0.7834394904458599,NA,NA,NA,NA,NA,0.0031847133757961785,NA,NA,NA,NA,NA,NA,TRUE
48.01539943716489,-114.49767968425294,25222,1,Synthetic data,Temperate or sub-polar needleleaf forest,needleleaf,1256,0.016719745222929936,NA,0.6114649681528662,0.357484076433121,0.014331210191082803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
48.0178,-118.78411,651,8,Pheromone trapping,Temperate or sub-polar shrubland,temperature_shrub,1257,0.10182975338106603,NA,0.12649164677804295,0.771678599840891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
48.02414356963329,-118.6062410923471,43875,1,Defoliation surveys,Temperate or sub-polar needleleaf forest,needleleaf,1254,0.008771929824561403,NA,0.5342902711323764,0.45614035087719296,NA,NA,NA,NA,NA,7.974481658692185e-4,NA,NA,NA,NA,NA,NA,TRUE
