elev2,lat,lon
287,45.85953781,-123.2316058
2387,39.709,-105.297
2579,50.97172048,-115.3996649
1251,53.08355877,-123.9265241
2942,38.00489849,-119.3515481
1304,46.12664593,-117.2556271
2132,43.6373269,-115.3886296
2133,38.31570896,-113.5465963
679,47.81197861,-106.5573164
545,54.09457114,-106.0203362
2199,41.98484509,-111.5323346
2545,44.32152307,-110.8980073
1608,45.02804461,-117.3214728
1530,45.01881271,-117.4337042
1871,37.27983978,-119.4237339
1676,49.28390521,-118.0608012
935,48.17649115,-118.7728372
215,37.05385795,-119.7759439
997,35.54323482,-117.9736935
1654,46.05979094,-117.905904
1399,41.40094404,-117.2054497
783,46.02252,-121.37555
1603,39.88,-121.198
920,48.149576,-118.4363083
124,37.99908474,-122.2005901
505,47.79015,-117.58021
1440,46.09404845,-111.3203649
1185,45.77900225,-108.1631997
358,50.6965887,-119.3346478
81,35.66680514,-119.3914682
2064,33.54698724,-107.6759867
1124,45.88243274,-117.7525242
2523,41.70857835,-115.3111483
1323,45.9082743,-118.0485327
661,50.89872287,-120.2846529
2378,52.55082596,-126.3660488
631,50.81030429,-120.7619828
312,34.34404417,-115.0613343
269,46.38000291,-120.1823526
1154,46.16147924,-117.2722076
1484,35.14521373,-104.644881
1278,41.23067797,-119.1226489
734,47.75026,-117.20738
1569,39.735,-120.968
439,53.47868446,-104.5736608
1939,49.86812698,-116.4869154
403,39.03867528,-122.876819
2280,43.65787646,-115.0589788
658,52.18000458,-108.5905095
829,53.94977526,-123.5141269
1268,32.85330758,-110.4484459
2653,32.958,-105.737
1533,45.49104224,-118.1685315
280,40.44177553,-122.6228414
1622,40.10287686,-121.175523
1820,44.66370364,-116.8971606
2066,33.816588,-110.926355
1391,43.41928144,-104.8515022
1201,41.05442223,-118.7697041
713,38.93574233,-120.8879887
2620,37.511502,-119.550052
1808,40.1257336,-115.7251452
982,46.08390931,-106.6584217
1832,37.57945575,-109.6925761
597,51.09127264,-107.8550844
1842,41.15164089,-114.7354986
76,36.7684526,-120.5460379
1684,38.8395814,-107.9455769
2,38.12010529,-121.9440058
1536,51.52788918,-124.3660246
NA,34.88209884,-121.1304831
878,35.67090381,-117.599765
2548,39.96814535,-105.4394519
2843,40.675,-111.603
2106,43.89730261,-110.466094
2354,40.05782974,-116.0592727
756,50.53545558,-109.9774026
1963,43.44820782,-114.9787927
2225,43.67078865,-115.1125156
1659,43.79625481,-118.7638805
2229,36.23705994,-110.0145678
1959,43.23037216,-115.3398741
944,46.89817221,-114.167133
1523,47.51042356,-115.5939617
2348,36.256,-115.645
1380,32.17994822,-108.6514867
1947,40.56544586,-118.7426609
1902,43.8687868,-115.3368104
1995,47.22768427,-114.5118121
1238,53.85968834,-118.1060581
121,36.3539279,-119.155381
2181,41.94994319,-105.7230009
1692,33.37163557,-108.8505693
1532,43.55793106,-112.7771685
2666,32.949,-105.748
2569,38.13377348,-119.7860442
2611,33.62105762,-105.3614389
1241,49.51913385,-109.9449065
1625,51.71399994,-116.6907843
1196,51.66556496,-114.5713738
751,50.26654448,-110.283582
1286,44.43037404,-108.2685593
732,53.42265423,-113.0810972
2006,36.737,-118.967
1737,39.87251153,-121.1448971
2154,36.61372242,-118.8105216
245,44.21005315,-123.6712794
1739,43.77881682,-118.8222073
1445,31.69722521,-105.6967444
62,52.39099172,-126.5248881
977,45.10372,-121.46297
583,49.8977099,-104.5209309
1492,47.40102434,-115.1130406
1342,46.89452157,-113.8578057
2414,37.966,-104.997
1837,31.89278202,-106.5007232
1810,39.80135262,-112.3424223
803,47.16899803,-117.1047209
1565,45.71572297,-118.0042555
2237,33.85346049,-110.913052
2167,42.23705074,-108.9765383
1193,45.15982121,-106.8758478
1748,44.38308321,-116.0753039
2763,35.668,-105.876
729,48.89356197,-104.6619514
2128,39.88906137,-116.4948563
1928,41.29362164,-109.453461
2016,37.91939545,-111.0698094
841,48.03828988,-118.6217002
1839,44.26301261,-115.5642794
1227,41.86599326,-121.55514
882,46.54656018,-106.3987264
850,53.44733474,-125.2256762
343,46.91368666,-119.6270092
1840,44.36346743,-115.9492146
1748,50.12391078,-114.3633614
1348,53.81723374,-118.1748714
772,50.46981537,-120.2524549
1400,46.21447668,-117.7522666
1639,43.83659101,-115.4721144
979,34.18065786,-117.5461008
2771,37.76501667,-119.064383
1416,42.81888357,-113.1144087
1411,42.64241855,-121.7257024
734,49.71956739,-106.2315638
2470,39.5743868,-108.492194
2123,38.59010208,-111.4135547
822,53.55314613,-114.8372745
1603,44.81944647,-116.3166908
2048,43.77232315,-115.3929381
2279,38.72735182,-115.8322877
1926,38.92588652,-116.993332
1433,40.84399898,-116.5129391
2753,37.58384411,-112.3421526
1334,41.19244865,-121.7457159
1625,51.69725504,-115.1616251
542,33.75488362,-112.0021952
1534,45.89729949,-117.7631472
1600,34.95713965,-106.976423
1981,43.60951598,-115.3121425
1941,34.80378636,-110.9150573
922,47.3,-120.711
1447,47.40980181,-121.3535973
1551,38.694548,-120.515566
878,48.47882325,-120.1100056
1085,49.1112467,-118.9543791
NA,49.72233156,-124.0420837
1045,51.80806922,-126.3044107
1379,52.58363181,-124.5329352
1964,41.65399831,-119.0408556
109,44.568,-123.396
1580,47.25508899,-115.4050125
514,52.93588676,-127.5699355
731,51.88282346,-110.215534
718,45.89095,-121.14449
1858,33.02365526,-109.6086177
1215,53.8061565,-117.9354518
259,46.01171494,-123.1025694
1340,50.13004031,-121.7753103
1141,44.70120708,-120.352083
1312,44.88628529,-109.0929972
NA,48.08445407,-126.4423473
225,48.09285275,-123.4877904
1427,44.79945629,-121.7197977
123,44.07988546,-123.1393185
1840,44.14622067,-116.0638434
2509,32.90856764,-105.648494
1945,32.43955701,-110.7261693
852,50.36897935,-120.3439457
2054,34.53398677,-106.4459429
1701,34.248,-117.228
915,48.18508493,-110.9911458
2180,38.62852711,-108.431861
967,49.33621442,-110.518976
1396,44.40965092,-117.4047097
748,51.52941879,-110.9317874
856,48.02414357,-118.6062411
1140,49.26098185,-119.0597505
520,47.67855,-120.7299
1152,33.44464321,-104.1004439
1136,45.45794654,-118.2812116
NA,50.96695721,-127.7311924
1799,35.7435783,-113.0725406
915,50.7590191,-120.5292077
937,46.79705101,-116.7223935
1615,36.22241648,-111.249025
1759,51.00078897,-122.7026875
1201,45.41885697,-118.2875286
2389,36.583,-118.734
2240,49.52877413,-116.3002637
1200,46.13009274,-117.2729085
1953,36.97940327,-107.5752671
