id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
2170,-105.625000000000000,51.875000000000000,-105.375000000000000,51.625000000000000,9,90,118669,7532,0,0
2171,-105.625000000000000,51.625000000000000,-105.375000000000000,51.375000000000000,10,90,119318,7587,0,0
2172,-105.625000000000000,51.375000000000000,-105.375000000000000,51.125000000000000,11,90,119964,7642,0,0
2173,-105.625000000000000,51.125000000000000,-105.375000000000000,50.875000000000000,12,90,120608,7699,0,0
2174,-105.625000000000000,50.875000000000000,-105.375000000000000,50.625000000000000,13,90,121250,7745,0,0
2175,-105.625000000000000,50.625000000000000,-105.375000000000000,50.375000000000000,14,90,121889,7807,0,0
2176,-105.625000000000000,50.375000000000000,-105.375000000000000,50.125000000000000,15,90,122526,7867,0,0
2177,-105.625000000000000,50.125000000000000,-105.375000000000000,49.875000000000000,16,90,123161,7914,0,0
2178,-105.625000000000000,49.875000000000000,-105.375000000000000,49.625000000000000,17,90,123793,7967,0,0
2179,-105.625000000000000,49.625000000000000,-105.375000000000000,49.375000000000000,18,90,124423,8029,0,0
2180,-105.625000000000000,49.375000000000000,-105.375000000000000,49.125000000000000,19,90,125050,8085,0,0
2181,-105.625000000000000,49.125000000000000,-105.375000000000000,48.875000000000000,20,90,125675,4154,0,0
2182,-105.625000000000000,48.875000000000000,-105.375000000000000,48.625000000000000,21,90,126297,0,0,
2183,-105.625000000000000,48.625000000000000,-105.375000000000000,48.375000000000000,22,90,126917,0,0,
2184,-105.625000000000000,48.375000000000000,-105.375000000000000,48.125000000000000,23,90,127534,0,0,
2185,-105.375000000000000,54.125000000000000,-105.125000000000000,53.875000000000000,0,91,112725,7058,0,0
2186,-105.375000000000000,53.875000000000000,-105.125000000000000,53.625000000000000,1,91,113394,7114,0,0
2187,-105.375000000000000,53.625000000000000,-105.125000000000000,53.375000000000000,2,91,114062,7166,0,0
2188,-105.375000000000000,53.375000000000000,-105.125000000000000,53.125000000000000,3,91,114727,7217,0,0
2189,-105.375000000000000,53.125000000000000,-105.125000000000000,52.875000000000000,4,91,115389,7271,0,0
2190,-105.375000000000000,52.875000000000000,-105.125000000000000,52.625000000000000,5,91,116050,7323,0,0
2191,-105.375000000000000,52.625000000000000,-105.125000000000000,52.375000000000000,6,91,116708,7375,0,0
2192,-105.375000000000000,52.375000000000000,-105.125000000000000,52.125000000000000,7,91,117364,7428,0,0
2193,-105.375000000000000,52.125000000000000,-105.125000000000000,51.875000000000000,8,91,118018,7481,0,0
2194,-105.375000000000000,51.875000000000000,-105.125000000000000,51.625000000000000,9,91,118669,7534,0,0
2195,-105.375000000000000,51.625000000000000,-105.125000000000000,51.375000000000000,10,91,119318,7591,0,0
2196,-105.375000000000000,51.375000000000000,-105.125000000000000,51.125000000000000,11,91,119964,7640,0,0
2197,-105.375000000000000,51.125000000000000,-105.125000000000000,50.875000000000000,12,91,120608,7698,0,0
2198,-105.375000000000000,50.875000000000000,-105.125000000000000,50.625000000000000,13,91,121250,7750,0,0
2199,-105.375000000000000,50.625000000000000,-105.125000000000000,50.375000000000000,14,91,121889,7805,0,0
2200,-105.375000000000000,50.375000000000000,-105.125000000000000,50.125000000000000,15,91,122526,7858,0,0
2201,-105.375000000000000,50.125000000000000,-105.125000000000000,49.875000000000000,16,91,123161,7916,0,0
2202,-105.375000000000000,49.875000000000000,-105.125000000000000,49.625000000000000,17,91,123793,7970,0,0
2203,-105.375000000000000,49.625000000000000,-105.125000000000000,49.375000000000000,18,91,124423,8028,0,0
