lat,lon,total_acres,pseu_acres,abies_acres
51.25,-115.5,12392.19638648861,9141.011783189322,3314.009426551449
51,-115.5,7366.570500324891,3024.9959714100014,4482.636517218978
50.75,-115.5,16714.95478036179,6015.503875968993,11467.05426356589
50.5,-115.5,55876.85355541324,39838.41627162069,17834.367456758486
50.25,-115.5,69787.76748918855,53361.61587382343,18732.670058509255
50,-115.5,38847.148624779154,18180.465556396724,22298.26331062325
49.75,-115.5,64027.643629052545,26522.62691631066,39962.83199296306
49.5,-115.5,72556.81800049859,68400.07853403142,4528.984791822485
53.75,-126.75,28671.23063949405,478.11946591707664,28543.73211524943
49.25,-115.5,83624.00296332878,79362.51389060382,5203.339918508459
54,-115.25,0,0,0
53.75,-115.25,0,0,0
53.5,-115.25,0,0,0
53.25,-115.25,0,0,0
53,-115.25,0,0,0
53.5,-126.75,83446.02790178567,1511.7034040178555,82873.171875
52.75,-115.25,0,0,0
52.5,-115.25,0,0,0
52.25,-115.25,0,0,0
52,-115.25,283.8487439871724,0,283.8487439871724
51.75,-115.25,31.502256437483158,15.751128218741579,15.751128218741579
51.5,-115.25,204.39241006720198,0,204.39241006720198
51.25,-115.25,3597.1920911352577,1743.6171271441635,1869.2832263978005
51,-115.25,17006.00986756683,13091.18254998705,4102.739028823678
50.75,-115.25,9074.193548387102,4411.935483870974,5037.741935483871
50.5,-115.25,16246.664404609492,6913.806274007686,9957.129577464786
53.25,-126.75,61975.48087052947,2051.5363182700353,61895.963958968634
50.25,-115.25,45224.05498281781,27072.054982817826,20382.013745704506
50,-115.25,28615.676437144604,12915.177511055015,17536.632596336025
49.75,-115.25,72184.09302033641,57141.20775797134,17777.955310067813
49.5,-115.25,62637.76541671859,51167.350566836925,13423.48548648307
49.25,-115.25,91968.56276306018,91566.07452339694,433.44887348353575
54,-115,0,0,0
53,-126.75,61557.72308538427,4616.829231403826,60891.37659837751
53.75,-115,0,0,0
53.5,-115,0,0,0
53.25,-115,0,0,0
53,-115,0,0,0
52.75,-115,0,0,0
52.5,-115,0,0,0
52.25,-115,0,0,0
52,-115,0,0,0
51.75,-115,0,0,0
51.5,-115,31.444986164184183,31.444986164184183,0
52.75,-126.75,49765.15710382515,12413.545081967202,46689.51502732244
51.25,-115,3233.784873069882,3186.6909186076887,47.09395446218272
51,-115,10841.872694206288,9494.472330475453,1410.0701480904147
50.75,-115,3396.3147024654686,563.4439137730736,2958.080547308638
50.5,-115,13990.846015885167,4903.042018959777,9728.01012042019
50.25,-115,30011.77630741828,17165.17699452853,14265.337829240372
50,-115,48788.189916603464,28697.104371998998,22565.510487743246
49.75,-115,51871.61209384021,33437.00025090955,21136.905407100738
49.5,-115,68124.96387193218,41898.01532328387,29745.575806652516
49.25,-115,79942.89955467587,65866.26669965369,17015.7100445324
52.5,-126.75,48566.11070931851,14560.094019471524,39589.82086230876
54,-114.75,0,0,0
53.75,-114.75,0,0,0
53.5,-114.75,0,0,0
53.25,-114.75,0,0,0
53,-114.75,0,0,0
52.75,-114.75,0,0,0
52.5,-114.75,0,0,0
52.25,-126.75,55614.2514365802,11678.828311142259,50268.30889978975
52.25,-114.75,0,0,0
52,-114.75,0,0,0
51.75,-114.75,0,0,0
51.5,-114.75,0,0,0
51.25,-114.75,565.1274535461915,565.1274535461915,0
51,-114.75,1959.4489212373267,1818.3685989082446,141.08032232908704
50.75,-114.75,2064.0959504771768,1407.3381480526173,688.0319834923914
50.5,-114.75,5997.613531522301,2998.8067657611505,3217.469759097901
50.25,-114.75,8434.478432370537,2151.4935742460893,6657.157653645507
50,-114.75,25683.821018062437,14374.228116710878,12429.662624731613
52,-126.75,65045.943804034534,14403.63775216133,57240.43054755043
49.75,-114.75,38069.84228356342,26513.757967377627,12596.753199498176
49.5,-114.75,50621.94330218067,20140.24635514023,33024.4224299066
49.25,-114.75,40956.11853501606,14822.803761445131,28345.904479089335
54,-114.5,0,0,0
53.75,-114.5,0,0,0
53.5,-114.5,0,0,0
51,-128,18761.2444444445,16617.10222222225,2144.1422222222245
51.75,-126.75,62680.28247313259,13855.475653443063,55626.58577683432
53.25,-114.5,0,0,0
53,-114.5,0,0,0
52.75,-114.5,0,0,0
52.5,-114.5,0,0,0
52.25,-114.5,0,0,0
52,-114.5,0,0,0
51.75,-114.5,0,0,0
51.5,-114.5,0,0,0
51.25,-114.5,0,0,0
51,-114.5,219.34424525850898,219.34424525850898,0
51.5,-126.75,56938.65023721668,2877.5954138112857,55822.20611491826
50.75,-114.5,2535.497611978829,2472.892732670717,78.25609913514818
50.5,-114.5,4808.737287050078,4293.5154348661445,671.3496861790703
50.25,-114.5,6718.664885496186,3569.7778625954215,3226.8297709923636
50,-114.5,9165.107896399239,3143.211876184458,6333.105116866706
49.75,-114.5,13963.6018820577,9195.163864491842,5079.085445420326
49.5,-114.5,35531.71143782701,25269.061799152812,13239.12808372791
49.25,-114.5,34698.279702970234,27393.37871287128,8419.207920792076
51.25,-126.75,54460.00161746867,4673.082086534572,51306.88394662355
54,-114.25,0,0,0
53.75,-114.25,0,0,0
53.5,-114.25,0,0,0
53.25,-114.25,0,0,0
53,-114.25,0,0,0
52.75,-114.25,0,0,0
52.5,-114.25,0,0,0
52.25,-114.25,0,0,0
52,-114.25,0,0,0
51,-126.75,66580.85312899108,17328.73563218388,52082.477650063825
51.75,-114.25,0,0,0
51.5,-114.25,0,0,0
51.25,-114.25,0,0,0
51,-114.25,15.675591369897893,15.675591369897893,0
50.75,-114.25,0,0,0
50.5,-114.25,0,0,0
50.25,-114.25,1402.9694656488534,1293.8496183206066,124.70839694656541
50,-114.25,4977.458954281389,4386.385703460471,606.6278100530438
49.75,-114.25,2205.8735098506777,2128.2019073911415,77.67160245952967
49.5,-114.25,13735.207824570134,13409.655494642408,604.5971841515081
50.75,-126.75,40980.92532467533,29721.996753246738,13817.775974025979
49.25,-114.25,35078.39811834614,18731.18346125284,17678.521911364136
54,-114,0,0,0
53.75,-114,0,0,0
53.5,-114,0,0,0
53.25,-114,0,0,0
53,-114,0,0,0
50.5,-126.75,94873.73233055451,30417.026640087017,74595.71457049654
52.75,-114,0,0,0
52.5,-114,0,0,0
52.25,-114,0,0,0
52,-114,0,0,0
51.75,-114,0,0,0
51.5,-114,0,0,0
51.25,-114,0,0,0
51,-114,15.671517671517678,15.671517671517678,0
50.75,-114,0,0,0
50.5,-114,0,0,0
50.25,-126.75,96954.27182489182,50285.86790531944,72848.24026469838
50.25,-114,0,0,0
50,-114,3549.1289180990893,3517.996208291198,62.26541961577336
49.75,-114,3493.468581462438,3446.8890003762667,46.57958108616527
49.5,-114,403.0647894343384,387.5622975330171,15.502491901320088
49.25,-114,5786.057156996163,2599.084498329825,3527.328962019057
54,-113.75,0,0,0
50,-126.75,86536.67806115634,32595.153157965025,71505.41167044995
53.75,-113.75,0,0,0
53.5,-113.75,0,0,0
53.25,-113.75,0,0,0
53,-113.75,0,0,0
52.75,-113.75,0,0,0
52.5,-113.75,0,0,0
52.25,-113.75,0,0,0
52,-113.75,0,0,0
51.75,-113.75,0,0,0
51.5,-113.75,15.722493082092091,15.722493082092091,0
49.75,-126.75,72045.32694205553,27767.469758917254,58170.31848301144
51.25,-113.75,0,0,0
51,-113.75,47.01455301455304,47.01455301455304,0
50.75,-113.75,0,0,0
50.5,-113.75,0,0,0
50.25,-113.75,0,0,0
50,-113.75,0,0,0
49.75,-113.75,46.59711417816721,46.59711417816721,0
49.5,-113.75,31.012711864405603,31.012711864405603,0
49.25,-113.75,15.472655283344597,15.472655283344597,0
49.5,-126.75,22588.139183055922,7529.379727685325,16941.104387292005
54,-113.5,0,0,0
53.75,-113.5,0,0,0
53.5,-113.5,0,0,0
53.25,-113.5,0,0,0
53,-113.5,0,0,0
52.75,-113.5,0,0,0
52.5,-113.5,0,0,0
50.75,-128,22616.749898771708,8968.146848427587,13992.272911324097
52.25,-113.5,0,0,0
52,-113.5,0,0,0
51.75,-113.5,0,0,0
51.5,-113.5,47.17369530838076,47.17369530838076,0
51.25,-113.5,0,0,0
51,-113.5,15.671517671517678,15.671517671517678,0
50.75,-113.5,0,0,0
50.5,-113.5,0,0,0
50.25,-113.5,0,0,0
50,-113.5,0,0,0
