id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
33,-127.875000000000000,52.125000000000000,-127.625000000000000,51.875000000000000,8,1,118018,5940,1478,0.248821548821549
34,-127.875000000000000,51.875000000000000,-127.625000000000000,51.625000000000000,9,1,118669,7233,1664,0.230056684639845
35,-127.875000000000000,51.625000000000000,-127.625000000000000,51.375000000000000,10,1,119318,3010,244,0.081063122923588
36,-127.875000000000000,51.375000000000000,-127.625000000000000,51.125000000000000,11,1,119964,3360,4,0.00119047619047619
37,-127.875000000000000,51.125000000000000,-127.625000000000000,50.875000000000000,12,1,120608,1010,37,0.0366336633663366
38,-127.875000000000000,50.875000000000000,-127.625000000000000,50.625000000000000,13,1,121250,6945,464,0.0668106551475882
39,-127.875000000000000,50.625000000000000,-127.625000000000000,50.375000000000000,14,1,121889,6469,2839,0.438862266192611
40,-127.875000000000000,50.375000000000000,-127.625000000000000,50.125000000000000,15,1,122526,6364,3214,0.505028284098052
41,-127.875000000000000,50.125000000000000,-127.625000000000000,49.875000000000000,16,1,123161,608,107,0.175986842105263
42,-127.875000000000000,49.875000000000000,-127.625000000000000,49.625000000000000,17,1,123793,0,0,
43,-127.875000000000000,49.625000000000000,-127.625000000000000,49.375000000000000,18,1,124423,0,0,
44,-127.875000000000000,49.375000000000000,-127.625000000000000,49.125000000000000,19,1,125050,0,0,
45,-127.875000000000000,49.125000000000000,-127.625000000000000,48.875000000000000,20,1,125675,0,0,
46,-127.875000000000000,48.875000000000000,-127.625000000000000,48.625000000000000,21,1,126297,0,0,
47,-127.875000000000000,48.625000000000000,-127.625000000000000,48.375000000000000,22,1,126917,0,0,
48,-127.875000000000000,48.375000000000000,-127.625000000000000,48.125000000000000,23,1,127534,0,0,
49,-127.625000000000000,54.125000000000000,-127.375000000000000,53.875000000000000,0,2,112725,7062,3945,0.558623619371283
50,-127.625000000000000,53.875000000000000,-127.375000000000000,53.625000000000000,1,2,113394,7114,3807,0.535141973573236
51,-127.625000000000000,53.625000000000000,-127.375000000000000,53.375000000000000,2,2,114062,7165,1646,0.229727843684578
52,-127.625000000000000,53.375000000000000,-127.375000000000000,53.125000000000000,3,2,114727,7216,2610,0.36169623059867
53,-127.625000000000000,53.125000000000000,-127.375000000000000,52.875000000000000,4,2,115389,7270,2818,0.387620357634113
54,-127.625000000000000,52.875000000000000,-127.375000000000000,52.625000000000000,5,2,116050,7322,903,0.123326959847036
55,-127.625000000000000,52.625000000000000,-127.375000000000000,52.375000000000000,6,2,116708,6572,1822,0.277236762020694
