lat,lon,land
33.75,-114,TRUE
33.75,-113.75,TRUE
33.75,-113.5,TRUE
33.75,-113.25,TRUE
33.75,-113,TRUE
33.75,-112.75,TRUE
33.75,-112.5,TRUE
33.75,-112.25,TRUE
33.75,-112,TRUE
33.75,-111.75,TRUE
33.75,-111.5,TRUE
33.75,-111.25,TRUE
33.75,-111,TRUE
33.75,-110.75,TRUE
33.75,-110.5,TRUE
33.75,-110.25,TRUE
33.75,-110,TRUE
33.75,-109.75,TRUE
33.75,-109.5,TRUE
33.75,-109.25,TRUE
33.75,-109,TRUE
33.75,-108.75,TRUE
33.75,-108.5,TRUE
33.75,-108.25,TRUE
33.75,-108,TRUE
33.75,-107.75,TRUE
33.75,-107.5,TRUE
33.75,-107.25,TRUE
33.75,-107,TRUE
33.75,-106.75,TRUE
33.75,-106.5,TRUE
33.75,-106.25,TRUE
33.75,-106,TRUE
33.75,-105.75,TRUE
33.75,-105.5,TRUE
33.75,-105.25,TRUE
33.75,-105,TRUE
33.75,-104.75,TRUE
33.75,-104.5,TRUE
33.75,-104.25,TRUE
33.75,-104,TRUE
34,-120.5,TRUE
34,-120.25,TRUE
34,-119,TRUE
34,-118.75,TRUE
34,-118.5,TRUE
34,-118.25,TRUE
34,-118,TRUE
34,-117.75,TRUE
34,-117.5,TRUE
34,-117.25,TRUE
34,-117,TRUE
34,-116.75,TRUE
34,-116.5,TRUE
34,-116.25,TRUE
34,-116,TRUE
34,-115.75,TRUE
34,-115.5,TRUE
34,-115.25,TRUE
34,-115,TRUE
34,-114.75,TRUE
34,-114.5,TRUE
34,-114.25,TRUE
34,-114,TRUE
34,-113.75,TRUE
34,-113.5,TRUE
34,-113.25,TRUE
34,-113,TRUE
34,-112.75,TRUE
34,-112.5,TRUE
34,-112.25,TRUE
34,-112,TRUE
34,-111.75,TRUE
34,-111.5,TRUE
34,-111.25,TRUE
34,-111,TRUE
34,-110.75,TRUE
34,-110.5,TRUE
34,-110.25,TRUE
34,-110,TRUE
34,-109.75,TRUE
34,-109.5,TRUE
