clust_n,max_trap,sum_trap,num_y,max_year,ob,break_end,clust_lon,clust_lat
13,10.4,18.200000000000003,9,2021,breaks5,2023,-116.37667448353568,47.19141242766027
14,3.4,3.4,7,1989,breaks2,1995,-121.16750154493616,45.98072413437734
14,36,132.6,9,1998,breaks3,2004,-121.16750154493616,45.98072413437734
14,1.4,1.5999999999999999,9,2013,breaks4,2013,-121.16750154493616,45.98072413437734
14,1.2,1.4,2,2015,breaks5,2022,-121.16750154493616,45.98072413437734
15,0.4,0.6000000000000001,4,1984,breaks1,1984,-121.242633895405,46.31036852225376
15,3.8,10.400000000000002,9,1986,breaks2,1993,-121.242633895405,46.31036852225376
15,16.4,19.9,9,1997,breaks3,2002,-121.242633895405,46.31036852225376
15,1.5,4.7,9,2008,breaks4,2011,-121.242633895405,46.31036852225376
15,6.4,14.8,8,2015,breaks5,2020,-121.242633895405,46.31036852225376
16,19.4,44.4,3,1981,breaks1,1986,-118.78674726731884,43.78854201936583
16,113,535.6,9,1992,breaks2,1995,-118.78674726731884,43.78854201936583
16,15.8,93.4,9,1999,breaks3,2004,-118.78674726731884,43.78854201936583
16,37.8,195.99999999999997,9,2009,breaks4,2013,-118.78674726731884,43.78854201936583
16,86.25,379.05,9,2018,breaks5,2022,-118.78674726731884,43.78854201936583
18,83,309,9,1985,breaks1,1987,-116.90069975228953,46.82645360009128
18,3,7,9,1992,breaks2,1996,-116.90069975228953,46.82645360009128
18,105.4,419,9,2000,breaks3,2005,-116.90069975228953,46.82645360009128
18,66.8,174.8,9,2011,breaks4,2014,-116.90069975228953,46.82645360009128
18,32,93.4,9,2020,breaks5,2023,-116.90069975228953,46.82645360009128
19,63,124,6,1985,breaks1,1987,-116.75290861889415,47.31107914505861
19,1,1,9,1990,breaks2,1996,-116.75290861889415,47.31107914505861
19,102.2,244.00000000000003,9,2001,breaks3,2005,-116.75290861889415,47.31107914505861
19,101.75,236.8,9,2011,breaks4,2014,-116.75290861889415,47.31107914505861
19,34,92.8,9,2020,breaks5,2023,-116.75290861889415,47.31107914505861
20,74,200,9,1985,breaks1,1987,-116.76199816887204,47.16751966665893
20,1,3,9,1988,breaks2,1996,-116.76199816887204,47.16751966665893
20,110.2,294.4,9,2001,breaks3,2005,-116.76199816887204,47.16751966665893
20,85.6,190.89999999999998,9,2011,breaks4,2014,-116.76199816887204,47.16751966665893
20,30,93.4,9,2019,breaks5,2023,-116.76199816887204,47.16751966665893
21,40,75,9,1985,breaks1,1987,-116.80608611270812,46.95163756256995
21,0,0,9,1988,breaks2,1996,-116.80608611270812,46.95163756256995
21,83.6,185.6,9,2000,breaks3,2005,-116.80608611270812,46.95163756256995
21,38.8,51.65,9,2011,breaks4,2014,-116.80608611270812,46.95163756256995
21,4.8,8.65,9,2019,breaks5,2023,-116.80608611270812,46.95163756256995
22,8,15.399999999999999,6,1982,breaks1,1986,-118.65161495979352,48.30645779753009
22,3,14.200000000000001,9,1992,breaks2,1995,-118.65161495979352,48.30645779753009
22,40.4,52.900000000000006,9,1998,breaks3,2004,-118.65161495979352,48.30645779753009
22,9.6,19.6,9,2007,breaks4,2013,-118.65161495979352,48.30645779753009
22,1.25,2.45,5,2018,breaks5,2022,-118.65161495979352,48.30645779753009
23,21.4,38.8,7,1983,breaks1,1986,-118.1392586090082,45.42232428949968
23,45.6,117.3,9,1991,breaks2,1995,-118.1392586090082,45.42232428949968
23,41.4,82.2,9,1999,breaks3,2004,-118.1392586090082,45.42232428949968
23,30.6,66.30000000000001,9,2009,breaks4,2013,-118.1392586090082,45.42232428949968
23,5.4,13.600000000000001,9,2018,breaks5,2022,-118.1392586090082,45.42232428949968
24,8.6,11,7,1981,breaks1,1986,-116.73194562818878,45.47853942133528
24,4.2,6.800000000000001,7,1990,breaks2,1995,-116.73194562818878,45.47853942133528
24,13.6,24.599999999999998,7,1999,breaks3,2004,-116.73194562818878,45.47853942133528
24,0,0,1,2005,breaks4,2013,-116.73194562818878,45.47853942133528
24,0.6,0.6,2,2020,breaks5,2022,-116.73194562818878,45.47853942133528
25,22,37.199999999999996,7,1981,breaks1,1986,-117.37038271510136,46.1191612239212
25,18.6,25.6,9,1991,breaks2,1995,-117.37038271510136,46.1191612239212
25,35.2,105,9,2000,breaks3,2004,-117.37038271510136,46.1191612239212
25,8.8,24.500000000000004,9,2011,breaks4,2013,-117.37038271510136,46.1191612239212
25,3.75,6.549999999999999,8,2020,breaks5,2022,-117.37038271510136,46.1191612239212
26,27.8,53.4,7,1983,breaks1,1986,-117.5911080813638,46.25813322192007
26,18.6,24.400000000000002,9,1991,breaks2,1995,-117.5911080813638,46.25813322192007
26,68.4,203.5,9,2000,breaks3,2004,-117.5911080813638,46.25813322192007
26,9.8,38.2,9,2011,breaks4,2013,-117.5911080813638,46.25813322192007
26,9.8,27.200000000000003,9,2019,breaks5,2022,-117.5911080813638,46.25813322192007
27,56,77,5,1985,breaks1,1987,-116.38433944171148,46.81416621022777
27,0,0,9,1988,breaks2,1996,-116.38433944171148,46.81416621022777
27,88.4,129.20000000000002,9,2001,breaks3,2005,-116.38433944171148,46.81416621022777
27,54.4,66.60000000000001,9,2011,breaks4,2014,-116.38433944171148,46.81416621022777
27,18,34.05,9,2021,breaks5,2023,-116.38433944171148,46.81416621022777
28,53.6,141,6,1982,breaks1,1987,-116.94838965744805,44.59963706934636
28,84.8,157.8,9,1990,breaks2,1996,-116.94838965744805,44.59963706934636
28,60.2,206.20000000000002,6,1999,breaks3,2005,-116.94838965744805,44.59963706934636
28,55.333333,228.53333299999997,8,2021,breaks5,2023,-116.94838965744805,44.59963706934636
29,0.8,1.5999999999999999,6,1982,breaks1,1986,-117.887822438507,48.28505316009537
29,0.2,0.8,8,1988,breaks2,1995,-117.887822438507,48.28505316009537
29,2.8,6.1,7,2000,breaks3,2004,-117.887822438507,48.28505316009537
29,1,2.2,9,2008,breaks4,2013,-117.887822438507,48.28505316009537
29,2,4,8,2021,breaks5,2022,-117.887822438507,48.28505316009537
30,1.8,2,3,1981,breaks1,1986,-121.91395,43.24734
31,15.2,33.4,6,1986,breaks1,1987,-121.84861380130802,42.626306415120695
31,21,76.39999999999999,9,1988,breaks2,1996,-121.84861380130802,42.626306415120695
31,29.7,136.7,9,2003,breaks3,2005,-121.84861380130802,42.626306415120695
31,24.4,61,8,2011,breaks4,2014,-121.84861380130802,42.626306415120695
31,37.8,124.8,7,2016,breaks5,2023,-121.84861380130802,42.626306415120695
32,5,6,4,2013,breaks4,2017,-105.6199158826052,32.69698581904347
34,0.2,0.4,6,1984,breaks1,1986,-121.02183111566876,46.4413199521254
34,2.2,4.2,9,1992,breaks2,1995,-121.02183111566876,46.4413199521254
34,39,140.20000000000002,9,2000,breaks3,2004,-121.02183111566876,46.4413199521254
34,13.6,32,9,2013,breaks4,2013,-121.02183111566876,46.4413199521254
