State,breaks,break_end,keep,clust_n
CA,breaks5,2025,yes,218
CA,breaks1,NA,no,224
CA,breaks2,NA,no,224
CA,breaks3,NA,no,224
CA,breaks4,NA,no,224
CA,breaks5,NA,no,224
CA,breaks1,1991,yes,241
CA,breaks2,2000,yes,241
CA,breaks3,2009,yes,241
CA,breaks4,2018,yes,241
CA,breaks5,2027,no,241
CA,breaks1,1991,no,249
CA,breaks2,2000,no,249
CA,breaks3,2009,yes,249
CA,breaks4,2018,yes,249
CA,breaks5,2027,no,249
CA,breaks1,1989,yes,255
CA,breaks2,1998,yes,255
CA,breaks3,2007,yes,255
CA,breaks4,2016,no,255
CA,breaks5,2025,no,255
CA,breaks1,1989,no,273
CA,breaks2,1998,no,273
CA,breaks3,2007,yes,273
CA,breaks4,2016,no,273
CA,breaks5,2025,no,273
CA,breaks1,1989,no,276
CA,breaks2,1998,no,276
CA,breaks3,2007,no,276
CA,breaks4,2016,yes,276
CA,breaks5,2025,no,276
CA,breaks1,1991,no,305
CA,breaks2,2000,yes,305
CA,breaks3,2009,yes,305
CA,breaks4,2018,no,305
CA,breaks5,2027,no,305
CA,breaks1,1989,yes,310
CA,breaks2,1998,yes,310
CA,breaks3,2007,yes,310
CA,breaks4,2016,yes,310
CA,breaks5,2025,no,310
CA,breaks1,1989,no,311
CA,breaks2,1998,no,311
CA,breaks3,2007,yes,311
CA,breaks4,2016,no,311
CA,breaks5,2025,no,311
CA,breaks1,1989,no,320
CA,breaks2,1998,yes,320
CA,breaks3,2007,yes,320
CA,breaks4,2016,no,320
CA,breaks5,2025,no,320
CA,breaks1,1989,no,321
CA,breaks2,1998,yes,321
CA,breaks3,2007,yes,321
CA,breaks4,2016,no,321
CA,breaks5,2025,no,321
CA,breaks1,1989,yes,322
CA,breaks2,1998,yes,322
CA,breaks3,2007,yes,322
CA,breaks4,2016,no,322
CA,breaks5,2025,no,322
CA,breaks1,1989,no,337
CA,breaks2,1998,no,337
CA,breaks3,2007,yes,337
CA,breaks4,2016,yes,337
CA,breaks5,2025,no,337
CA,breaks1,1985,yes,339
CA,breaks2,1994,yes,339
CA,breaks3,2003,yes,339
CA,breaks4,2012,no,339
CA,breaks5,2021,no,339
CA,breaks1,1989,no,346
CA,breaks2,1998,yes,346
CA,breaks3,2007,yes,346
CA,breaks4,2016,no,346
CA,breaks5,2025,no,346
CA,breaks1,1984,no,362
CA,breaks2,1993,yes,362
CA,breaks3,2002,yes,362
CA,breaks4,2011,no,362
CA,breaks5,2020,no,362
CA,breaks1,1991,yes,363
CA,breaks2,2000,yes,363
CA,breaks3,2009,yes,363
CA,breaks4,2018,yes,363
CA,breaks5,2027,no,363
CA,breaks1,1981,no,383
CA,breaks2,1990,no,383
CA,breaks3,1999,yes,383
CA,breaks4,2008,yes,383
CA,breaks5,2017,no,383
CA,breaks1,1991,no,389
CA,breaks2,2000,yes,389
CA,breaks3,2009,yes,389
CA,breaks4,2018,yes,389
CA,breaks5,2027,no,389
CA,breaks1,1989,yes,394
CA,breaks2,1998,yes,394
CA,breaks3,2007,yes,394
CA,breaks4,2016,yes,394
CA,breaks5,2025,no,394
CA,breaks1,1989,no,402
CA,breaks2,1998,yes,402
CA,breaks3,2007,yes,402
CA,breaks4,2016,yes,402
CA,breaks5,2025,no,402
CA,breaks1,1991,yes,405
CA,breaks2,2000,yes,405
CA,breaks3,2009,yes,405
CA,breaks4,2018,yes,405
CA,breaks5,2027,no,405
CA,breaks1,1989,no,406
CA,breaks2,1998,no,406
CA,breaks3,2007,yes,406
CA,breaks4,2016,no,406
CA,breaks5,2025,no,406
CA,breaks1,NA,no,409
CA,breaks2,NA,no,409
CA,breaks3,NA,no,409
CA,breaks4,NA,no,409
CA,breaks5,NA,no,409
CA,breaks1,1991,no,417
CA,breaks2,2000,yes,417
CA,breaks3,2009,yes,417
CA,breaks4,2018,no,417
CA,breaks5,2027,no,417
CA,breaks1,1989,yes,433
CA,breaks2,1998,yes,433
CA,breaks3,2007,no,433
CA,breaks4,2016,no,433
CA,breaks5,2025,no,433
CA,breaks1,1991,no,444
CA,breaks2,2000,yes,444
CA,breaks3,2009,yes,444
CA,breaks4,2018,yes,444
CA,breaks5,2027,no,444
CA,breaks1,1989,yes,453
CA,breaks2,1998,yes,453
CA,breaks3,2007,yes,453
CA,breaks4,2016,no,453
