PlotName,State,manual_id,lat,lon,years_trapped,max_trap
Big Bar South,BC,3054,51.302036,-121.791027,13,28.333333333333332
Big Bear Creek,ID,2203,46.81168,-116.64429,42,87
Big Meadow Creek,ID,2204,46.7986,-116.81892,42,108.6
Big Tesuque,NM,574,35.76882,-105.809192,1,0
Big Tinker,ID,2114,46.08491,-115.76472,23,4.6
Big Turkey CG,CO,167,39.119876,-105.227114,19,0.6
BigHole-kirkham hollow,ID,2394,43.715874,-111.446291,3,27.2
Big_Arm,MT,20,47.793777,-114.262534,27,30
Big_Bend,OR,988,44.98637,-117.09343,26,93
Big_Butte,WA,378,46.1109,-117.25864,40,22
Big_Canyon,OR,412,45.50167,-117.605,22,3.8
Big_Foot,WA,1148,48.10853,-117.12011,26,4.8
Big_Fork,MT,24,48.066301,-114.068547,24,2.2
Big_Goomis_Cr,WA,904,48.97349,-118.59017,40,2.2
Big_Rock,WA,936,48.79483,-119.64609,40,11.2
Bill_Gulch,WA,1151,47.82355,-117.17474,27,1.4
Billy,OR,1646,45.82805,-117.05223,3,0.8
Billy_Meadows,OR,521,45.79167,-117.08333,35,25
Biometalic,WA,934,48.84203,-119.12035,41,4
Birch_Creek,OR,1125,44.42611,-119.76572,10,3.2
Birch_Creek_New,OR,1393,44.43694,-119.76102,1,0.2
Black Pine,ID,2125,46.15803,-116.79137,22,18.2
Black_Bear_CG,NM,481,32.943256,-105.74945,1,0
Black_Butte,OR,10,44.41389,-121.63333,41,51.6
Black_Butte,OR,216,44.55207,-119.15768,41,32.6
Black_Canyon,WA,344,48.06194,-120.06722,36,37.8
Black_Mtn,OR,399,45.59583,-118.23,32,2.6
Black_Mtn_Gulch,OR,1525,44.60752,-117.88104,4,2.4
Black_Mtn_Rd,OR,408,44.6567,-118.0022,40,8.4
Blackpine_Lake,WA,340,48.31217,-120.26453,35,17.8
Blagg_Williams_Cyn,WA,586,47.60333,-120.54667,40,7.4
Blake Draw Creek,ID,2350,47.297383,-116.707655,12,27.4
Blm,OR,817,42.17759,-123.43367,2,0
Blm,OR,818,42.26528,-123.43531,2,1
Blm,OR,819,42.08897,-123.67102,2,0
Blm,OR,820,42.52748,-123.23935,2,1.3
Blm,OR,821,42.57184,-123.53428,2,3.8
Blm,OR,822,42.60101,-123.45536,2,2.2
Blm,OR,823,42.73075,-122.96395,7,0.6
Blm,OR,824,42.70136,-122.80551,7,0.2
Blue Lake,BC,4018,49.043134890000005,-119.5575309,24,63.2
Blue_Lake,WA,1405,48.90128,-119.49763,14,7.8
Blue_Mountain,MT,34,46.816244,-114.186154,23,19.8
Blue_Spr-Gran_Sumt,OR,1026,44.7501,-118.2914,35,31.4
Bluebunch,ID,2060,44.839761,-116.281775,12,6
Bogus Basin Resort,ID,2384,43.769586,-116.111292,10,15.4
Bogus Basin-Nordic,ID,2391,43.799122,-116.093916,2,0
Bogus X-Ski,ID,2069,43.770226,-116.104253,10,24
Boise_Cascade,OR,748,45.52193,-117.75659,4,0.4
Boise_Cascade,OR,749,45.8144,-117.73721,6,30.6
Boise_Cascade,OR,751,45.77081,-117.67504,6,1.4
Boise_Cascade,OR,752,45.79978,-117.65454,5,22
Boise_Cascade,OR,753,45.71288,-117.65422,6,11.6
Boise_Cascade,OR,757,45.623779999999996,-117.96305,5,5
Boise_Cascade,OR,758,45.73992,-117.88026,25,45.8
Boise_Cascade,OR,759,45.74177,-117.6542,23,3.4
Boise_Cascade,OR,763,45.73949,-117.81902,5,21.6
Boise_Cascade,OR,765,45.44948,-117.79882,5,1.4
Boise_Cascade,OR,767,45.78544,-117.69573,6,1.4
Boise_Cascade,OR,774,45.40548,-118.10678,5,7
Boise_Cascade,OR,775,45.17302,-117.69442,5,0.8
Boise_Cascade,OR,777,45.5224,-118.46636,6,0.4
Boise_Cascade,OR,1457,45.79542,-117.83958,5,3.6
Boise_Cascade,OR,1674,45.84577,-117.32406,4,2.8
Boise_Cascade,OR,1675,45.81673,-117.30286,4,1.2
Boise_Cascade,OR,1676,45.42165,-118.39763,4,0.2
Boise_Cascade.,OR,764,45.74,-117.85973,6,12.8
Bonapart_Lake,WA,1242,48.789790000000004,-119.05597,26,6
Bonaparte R. / South District Boundary,BC,3015,51.352926999999994,-121.120151,15,17.7
Bonaparte River,BC,3001,50.737994,-121.256952,3,3
Bonaparte River,BC,3002,50.737994,-121.256952,16,6
Bonaparte River,BC,3004,50.737994,-121.256952,19,7.5
Bonaparte River,BC,3005,50.737994,-121.256952,21,10.5
Bonaparte River,BC,3050,50.737994,-121.256952,21,7
Bone_Point,OR,358,44.94528,-119.04233,24,25.2
Boone Peak,ID,2031,42.930656,-116.660097,1,23
Border,WA,930,48.95222,-118.2058,27,8.8
Border,WA,1364,48.96402,-118.21695,15,4.6
Boulder_Creek,WA,1286,48.87538,-118.43979,16,3.2
Boundary,OR,301,43.96678,-119.60757,37,15.2
Boundary,OR,1573,42.79913,-121.92712,3,3.2
Bowman,CA,1294,39.459317,-120.612392,14,52.2
Box_Canyon,WA,1020,45.92502,-120.70138,29,30.4
