State,clust_n,breaks
ID,82,breaks2
ID,82,breaks3
ID,82,breaks4
ID,82,breaks5
ID,83,breaks1
ID,83,breaks2
ID,83,breaks3
ID,83,breaks4
ID,83,breaks5
ID,87,breaks1
ID,87,breaks2
ID,87,breaks3
ID,87,breaks4
ID,87,breaks5
ID,91,breaks1
ID,91,breaks2
ID,91,breaks3
ID,91,breaks4
ID,91,breaks5
ID,93,breaks1
ID,93,breaks2
ID,93,breaks3
ID,93,breaks4
ID,93,breaks5
ID,95,breaks1
ID,95,breaks2
ID,95,breaks3
ID,95,breaks4
ID,95,breaks5
ID,115,breaks1
ID,115,breaks2
ID,115,breaks3
ID,115,breaks4
ID,115,breaks5
ID,117,breaks1
ID,117,breaks2
ID,117,breaks3
ID,117,breaks4
ID,117,breaks5
ID,124,breaks1
ID,124,breaks2
ID,124,breaks3
ID,124,breaks4
ID,124,breaks5
ID,142,breaks1
ID,142,breaks2
ID,142,breaks3
ID,142,breaks4
ID,142,breaks5
ID,143,breaks1
ID,143,breaks2
ID,143,breaks3
ID,143,breaks4
ID,143,breaks5
ID,164,breaks1
ID,164,breaks2
ID,164,breaks3
ID,164,breaks4
ID,164,breaks5
ID,176,breaks1
ID,176,breaks2
ID,176,breaks3
ID,176,breaks4
ID,176,breaks5
ID,183,breaks1
ID,183,breaks2
ID,183,breaks3
ID,183,breaks4
ID,183,breaks5
ID,187,breaks1
ID,187,breaks2
ID,187,breaks3
ID,187,breaks4
ID,187,breaks5
ID,193,breaks1
ID,193,breaks2
ID,193,breaks3
ID,193,breaks4
ID,193,breaks5
ID,196,breaks1
ID,196,breaks2
ID,196,breaks3
ID,196,breaks4
ID,196,breaks5
ID,202,breaks1
ID,202,breaks2
ID,202,breaks3
ID,202,breaks4
ID,202,breaks5
ID,216,breaks1
ID,216,breaks2
ID,216,breaks3
ID,216,breaks4
ID,216,breaks5
ID,227,breaks1
ID,227,breaks2
ID,227,breaks3
ID,227,breaks4
ID,227,breaks5
ID,236,breaks1
ID,236,breaks2
ID,236,breaks3
ID,236,breaks4
ID,236,breaks5
ID,237,breaks1
ID,237,breaks2
ID,237,breaks3
ID,237,breaks4
ID,237,breaks5
ID,238,breaks1
ID,238,breaks2
ID,238,breaks3
ID,238,breaks4
ID,238,breaks5
ID,239,breaks1
ID,239,breaks2
ID,239,breaks3
ID,239,breaks4
ID,239,breaks5
ID,240,breaks1
ID,240,breaks2
ID,240,breaks3
ID,240,breaks4
ID,240,breaks5
ID,252,breaks1
ID,252,breaks2
ID,252,breaks3
ID,252,breaks4
ID,252,breaks5
ID,261,breaks1
ID,261,breaks2
ID,261,breaks3
ID,261,breaks4
ID,261,breaks5
ID,266,breaks1
ID,266,breaks2
ID,266,breaks3
ID,266,breaks4
ID,266,breaks5
ID,267,breaks1
ID,267,breaks2
ID,267,breaks3
ID,267,breaks4
ID,267,breaks5
ID,286,breaks1
ID,286,breaks2
ID,286,breaks3
ID,286,breaks4
ID,286,breaks5
ID,297,breaks1
ID,297,breaks2
ID,297,breaks3
ID,297,breaks4
ID,297,breaks5
ID,303,breaks1
ID,303,breaks2
ID,303,breaks3
ID,303,breaks4
ID,303,breaks5
ID,314,breaks1
ID,314,breaks2
ID,314,breaks3
ID,314,breaks4
ID,314,breaks5
ID,317,breaks1
ID,317,breaks2
ID,317,breaks3
ID,317,breaks4
ID,317,breaks5
ID,318,breaks1
ID,318,breaks2
ID,318,breaks3
ID,318,breaks4
ID,318,breaks5
ID,329,breaks1
ID,329,breaks2
ID,329,breaks3
ID,329,breaks4
ID,329,breaks5
ID,332,breaks1
ID,332,breaks2
ID,332,breaks3
ID,332,breaks4
ID,332,breaks5
ID,349,breaks1
ID,349,breaks2
ID,349,breaks3
ID,349,breaks4
ID,349,breaks5
ID,364,breaks1
ID,364,breaks2
ID,364,breaks3
ID,364,breaks4
ID,364,breaks5
ID,366,breaks1
ID,366,breaks2
ID,366,breaks3
ID,366,breaks4
ID,366,breaks5
ID,385,breaks1
ID,385,breaks2
ID,385,breaks3
ID,385,breaks4
ID,385,breaks5
ID,387,breaks1
ID,387,breaks2
ID,387,breaks3
ID,387,breaks4
ID,387,breaks5
ID,414,breaks1
ID,414,breaks2
ID,414,breaks3
ID,414,breaks4
ID,414,breaks5
ID,418,breaks1
ID,418,breaks2
ID,418,breaks3
ID,418,breaks4
ID,418,breaks5
ID,419,breaks1
ID,419,breaks2
ID,419,breaks3
ID,419,breaks4
ID,419,breaks5
ID,428,breaks1
ID,428,breaks2
ID,428,breaks3
ID,428,breaks4
ID,428,breaks5
ID,434,breaks1
ID,434,breaks2
ID,434,breaks3
ID,434,breaks4
ID,434,breaks5
ID,437,breaks1
ID,437,breaks2
ID,437,breaks3
ID,437,breaks4
ID,437,breaks5
ID,439,breaks1
ID,439,breaks2
ID,439,breaks3
ID,439,breaks4
ID,439,breaks5
ID,443,breaks1
ID,443,breaks2
ID,443,breaks3
ID,443,breaks4
ID,443,breaks5
ID,459,breaks1
ID,459,breaks2
ID,459,breaks3
ID,459,breaks4
ID,459,breaks5
ID,473,breaks1
ID,473,breaks2
ID,473,breaks3
ID,473,breaks4
ID,473,breaks5
MT,35,breaks1
MT,35,breaks2
MT,35,breaks3
MT,35,breaks4
MT,35,breaks5
MT,56,breaks1
MT,56,breaks2
MT,56,breaks3
MT,56,breaks4
MT,56,breaks5
MT,118,breaks1
MT,118,breaks2
MT,118,breaks3
MT,118,breaks4
MT,118,breaks5
MT,120,breaks1
MT,120,breaks2
MT,120,breaks3
MT,120,breaks4
MT,120,breaks5
MT,140,breaks1
MT,140,breaks2
MT,140,breaks3
MT,140,breaks4
MT,140,breaks5
MT,180,breaks1
MT,180,breaks2
MT,180,breaks3
MT,180,breaks4
MT,180,breaks5
MT,221,breaks1
MT,221,breaks2
MT,221,breaks3
MT,221,breaks4
MT,221,breaks5
MT,234,breaks1
MT,234,breaks2
MT,234,breaks3
MT,234,breaks4
MT,234,breaks5
MT,278,breaks1
MT,278,breaks2
MT,278,breaks3
MT,278,breaks4
MT,278,breaks5
MT,288,breaks1
MT,288,breaks2
MT,288,breaks3
MT,288,breaks4
MT,288,breaks5
MT,361,breaks1
MT,361,breaks2
MT,361,breaks3
MT,361,breaks4
MT,361,breaks5
MT,407,breaks1
MT,407,breaks2
MT,407,breaks3
MT,407,breaks4
MT,407,breaks5
MT,412,breaks1
MT,412,breaks2
MT,412,breaks3
MT,412,breaks4
MT,412,breaks5
MT,415,breaks1
MT,415,breaks2
MT,415,breaks3
MT,415,breaks4
MT,415,breaks5
MT,416,breaks1
MT,416,breaks2
MT,416,breaks3
MT,416,breaks4
MT,416,breaks5
MT,429,breaks1
MT,429,breaks2
MT,429,breaks3
MT,429,breaks4
MT,429,breaks5
NM,4,breaks1
NM,4,breaks2
NM,4,breaks3
NM,4,breaks4
NM,4,breaks5
NM,32,breaks1
NM,32,breaks2
NM,32,breaks3
NM,32,breaks4
NM,32,breaks5
NM,33,breaks1
NM,33,breaks2
NM,33,breaks3
NM,33,breaks4
NM,33,breaks5
NM,53,breaks1
NM,53,breaks2
NM,53,breaks3
NM,53,breaks4
NM,53,breaks5
NM,54,breaks1
NM,54,breaks2
NM,54,breaks3
NM,54,breaks4
NM,54,breaks5
NM,114,breaks1
NM,114,breaks2
NM,114,breaks3
NM,114,breaks4
NM,114,breaks5
