area_meters,area_km,year,num,type,lon_cent,lat_cent,manual_id
356584.0840255022,0.3565840840255022,2006,NA,not to break,-121.73972818080624,40.82804350635787,5655
26755.489476893097,0.0267554894768931,2006,NA,not to break,-121.76994983669188,41.21411724376116,5656
440684.18989057466,0.4406841898905747,2006,NA,not to break,-121.76732306981776,41.21962090324776,5657
253450.3828587737,0.2534503828587737,2006,NA,not to break,-121.7734151234815,41.2248908310533,5658
1114455.0825482793,1.1144550825482793,2006,NA,not to break,-121.73743296216377,41.28143943938706,5659
3516677.1177846724,3.5166771177846723,2006,NA,not to break,-121.71446856822142,41.2887323431304,5660
756246.118062207,0.756246118062207,2006,NA,not to break,-121.72293059004488,41.28959836929816,5661
795679.0097715408,0.7956790097715407,2006,NA,not to break,-121.7386250510326,41.293115399842,5662
1007988.4046110436,1.0079884046110437,2006,NA,not to break,-121.70885514082048,41.310918146666594,5663
1981128.5888190372,1.981128588819037,2006,NA,not to break,-121.80578963057404,41.33048024528162,5664
48483.708526171744,0.04848370852617174,2006,NA,not to break,-121.8033047268548,41.34454154250182,5665
6641164.223713458,6.641164223713457,2006,NA,not to break,-119.41568056041824,37.26102599422063,5666
2631157.876975082,2.631157876975082,2006,NA,not to break,-119.4390004458524,37.31918371504714,5667
841637.74104774,0.84163774104774,2006,NA,not to break,-119.51246861011796,37.37790372099742,5668
5550184.653083716,5.550184653083716,2006,NA,not to break,-119.5709004637744,37.50445390384555,5669
2651197.6942840517,2.651197694284052,2006,NA,not to break,-119.65737215295432,37.50892577708041,5670
3223834.0841300227,3.2238340841300226,2006,NA,not to break,-119.66950674495848,37.62130659906611,5671
390619.55710169673,0.3906195571016967,2006,NA,not to break,-119.7954259613402,37.74331689685163,5672
141260.5596666932,0.1412605596666932,2006,NA,not to break,-115.41590506343042,41.862508829327766,5673
265320.1677492857,0.2653201677492857,2006,NA,not to break,-114.45929648519136,43.50332276839356,5674
215249.44265512377,0.21524944265512377,2006,NA,not to break,-114.45270807077348,43.53063299276589,5675
109852.98910656571,0.10985298910656573,2006,NA,not to break,-114.5174802282581,43.54974210982533,5676
135488.9193521738,0.1354889193521738,2006,NA,not to break,-114.52353758634888,43.55157404856079,5677
515127.18781698216,0.5151271878169822,2006,NA,not to break,-114.57410012574567,43.61491313351263,5678
1118547.005737478,1.118547005737478,2006,NA,not to break,-114.53076557461463,43.67961198551991,5679
1074414.252692179,1.0744142526921792,2006,NA,not to break,-106.3987568114672,35.14602629728994,5680
1015823.2822410532,1.0158232822410531,2006,NA,not to break,-106.39216664030673,35.15659126292458,5681
2455833.325758733,2.455833325758733,2006,NA,not to break,-106.39117497325434,35.16784445294757,5682
216218.97704772535,0.21621897704772536,2006,NA,not to break,-106.3817691827111,35.17873254024158,5683
199712.39110280605,0.19971239110280609,2006,NA,not to break,-106.3971628564321,35.18413980785233,5684
