manual_id,lat,lon,source,year,lat_coord,lon_coord
43794,48.17649115457554,-118.77283717696932,Defoliation surveys,1973,48.25,-118.75
43802,48.25184311249963,-118.7728803999096,Defoliation surveys,1973,48.25,-118.75
43810,48.27996458307923,-118.75706639888357,Defoliation surveys,1973,48.25,-118.75
43822,47.99391600352001,-118.7558618037576,Defoliation surveys,1973,48,-118.75
43873,47.9770380303549,-118.6441229065078,Defoliation surveys,1973,48,-118.75
43875,48.02414356963329,-118.6062410923471,Defoliation surveys,1973,48,-118.5
43877,48.03828987639418,-118.6217001680348,Defoliation surveys,1973,48,-118.5
43938,48.14957600373639,-118.43630832297303,Defoliation surveys,1973,48.25,-118.5
43951,48.81814209967915,-118.20732318022084,Defoliation surveys,1973,48.75,-118.25
43988,48.3170775935147,-118.07541529960037,Defoliation surveys,1973,48.25,-118
43998,48.50037408258183,-117.93085629685116,Defoliation surveys,1973,48.5,-118
44273,43.44310606853853,-114.9619402702488,Defoliation surveys,1992,43.5,-115
44274,43.44820782196739,-114.97879267818428,Defoliation surveys,1992,43.5,-115
44464,43.772323154906886,-115.39293807026822,Defoliation surveys,1993,43.75,-115.5
44476,43.86878679747066,-115.33681041653185,Defoliation surveys,1993,43.75,-115.25
44542,36.61372241719728,-118.81052162844075,Defoliation surveys,1999,36.5,-118.75
44583,45.89565540370493,-117.8106214197623,Defoliation surveys,2000,46,-117.75
44613,45.01881271306885,-117.43370415622296,Defoliation surveys,2000,45,-117.5
44675,45.10322567419641,-117.3652448054736,Defoliation surveys,2000,45,-117.25
44729,43.10787181345044,-116.7648963401459,Defoliation surveys,2000,43,-116.75
44741,46.8913001799816,-116.81165221056276,Defoliation surveys,2000,47,-116.75
44777,44.862697173739264,-119.6314548256073,Defoliation surveys,2001,44.75,-119.75
44879,46.06907291594712,-117.68188052714711,Defoliation surveys,2001,46,-117.75
44884,46.09691232392228,-117.76515282210605,Defoliation surveys,2001,46,-117.75
44901,45.02804461081792,-117.32147281540205,Defoliation surveys,2001,45,-117.25
44909,45.051807632513466,-117.4419130025265,Defoliation surveys,2001,45,-117.5
44971,45.225052207051355,-116.90442704835552,Defoliation surveys,2001,45.25,-117
45123,46.868798210211416,-116.633413774078,Defoliation surveys,2001,46.75,-116.75
45128,46.88805717517197,-116.61873431931625,Defoliation surveys,2001,47,-116.5
45142,32.90856764110461,-105.64849400873878,Defoliation surveys,2001,33,-105.75
45180,42.0806514399475,-114.12044774504258,Defoliation surveys,2001,42,-114
45183,42.20854326304228,-113.71575134213832,Defoliation surveys,2001,42.25,-113.75
45212,44.92166590289564,-119.61649383985136,Defoliation surveys,2002,45,-119.5
45232,46.05054975927879,-117.67978096260818,Defoliation surveys,2002,46,-117.75
45335,41.70857834902198,-115.31114831705108,Defoliation surveys,2003,41.75,-115.25
45358,41.82623897738985,-115.20798025071458,Defoliation surveys,2003,41.75,-115.25
45425,41.923185328044205,-115.5119790072916,Defoliation surveys,2004,42,-115.5
45462,47.70921969728795,-114.54960612299762,Defoliation surveys,2004,47.75,-114.5
45465,47.72718719032121,-114.55502354926216,Defoliation surveys,2004,47.75,-114.5
45468,47.745794069103134,-114.5362257764753,Defoliation surveys,2004,47.75,-114.5
45490,47.714148218610816,-114.3051565531199,Defoliation surveys,2004,47.75,-114.25
45533,37.279839779992614,-119.42373385646766,Defoliation surveys,2005,37.25,-119.5
45538,37.473961818396035,-119.59357012033806,Defoliation surveys,2005,37.5,-119.5
45573,41.81341394220269,-115.49296145579608,Defoliation surveys,2005,41.75,-115.5
45586,41.902258870000765,-115.34741011460213,Defoliation surveys,2005,42,-115.25
45614,47.81871739326984,-114.59512288088852,Defoliation surveys,2005,47.75,-114.5
45628,42.23596540593137,-112.44909568993629,Defoliation surveys,2005,42.25,-112.5
45639,42.383512343342765,-112.74716952196232,Defoliation surveys,2005,42.5,-112.75
45652,38.09892201165421,-120.03737776938756,Defoliation surveys,2006,38,-120
