df_id,lat_site,lon_site,mean_biomass,max_biomass,mean_cover
10283,50.4,-119.35,98.87032967032965,255,67.7164835164835
10284,50.4,-119.325,63.94533029612757,252,43.03189066059226
10285,50.4,-119.3,45.21538461538457,252,27.600000000000037
10286,50.4,-119.275,30.068281938326,250,18.204845814978
10287,50.4,-119.25,24.026490066225204,193,13.59161147902871
10288,50.4,-119.225,45.1541850220264,252,27.392070484581538
10289,50.4,-119.2,91.57743362831872,255,49.45575221238923
1029,49.125,-119.925,81.02433628318586,252,52.988938053097336
10290,50.4,-119.175,130.32743362831866,255,72.76548672566366
10291,50.4,-119.15,180.47577092511017,255,89.51321585903085
10292,50.4,-119.125,184.0859030837004,255,91.4295154185022
10293,50.4,-119.1,179.0022123893806,255,91.60840707964601
10294,50.4,-119.075,165.74613686534218,255,90.73068432671081
10295,50.4,-119.05,157.79515418502203,255,89.87885462555064
10296,50.4,-119.025,174.65342163355416,255,91.18101545253862
10297,50.4,-119,172.75275938189847,255,87.83222958057394
10298,50.4,-118.975,161.442731277533,255,81.38766519823785
10299,50.4,-118.95,134.98901098901098,255,72.34505494505495
103,49,-120.45,28.638766519823847,252,72.18722466960358
1030,49.125,-119.9,79.53421633554086,252,54.8233995584989
10300,50.4,-118.925,120.92841163310965,255,70.87248322147651
10301,50.4,-118.9,127.06140350877192,255,76.31359649122808
10302,50.4,-118.875,147.45814977973572,255,82.77312775330397
10303,50.4,-118.85,164.05960264900665,255,88.15231788079468
10304,50.4,-118.825,165.85176991150442,255,89.90044247787608
10305,50.4,-118.8,143.241610738255,255,83.79642058165548
10306,50.4,-118.775,126.25657894736847,255,78.70833333333336
10307,50.4,-118.75,127.4955555555555,255,73.3066666666667
10308,50.4,-118.725,160.7937915742794,255,79.97782705099777
10309,50.4,-118.7,167.93171806167402,255,84.5352422907489
1031,49.125,-119.875,85.04646017699109,255,62.482300884955755
10310,50.4,-118.675,176.98230088495575,255,89.71460176991151
10311,50.4,-118.65,161.30769230769226,255,89.51868131868133
10312,50.4,-118.625,154.85011185682336,255,88.8903803131991
10313,50.4,-118.6,154.57836644591626,255,90.50993377483445
10314,50.4,-118.575,162.28761061946906,255,85.95796460176992
10315,50.4,-118.55,121.99339207048457,255,61.006607929515404
10316,50.4,-118.525,78.46681415929204,255,38.49336283185841
10317,50.4,-118.5,85.21412803532007,255,43
10318,50.425,-123,62.77041942604851,252,33.293598233995674
10319,50.425,-122.975,98.37610619468997,255,46.62831858407087
1032,49.125,-119.85,93.5558086560365,255,72.77904328018224
10320,50.425,-122.95,115.66740088105726,252,58.69162995594714
10321,50.425,-122.925,127.37831858407087,252,64.09513274336283
10322,50.425,-122.9,125.47692307692311,255,62.764835164835155
10323,50.425,-122.875,129.59292035398212,255,68.76991150442483
10324,50.425,-122.85,145.06194690265488,255,78.40929203539822
10325,50.425,-122.825,118.14128035320073,255,65.3377483443708
10326,50.425,-122.8,120.59734513274346,255,64.61504424778774
10327,50.425,-122.775,115.97802197802189,255,63.12527472527473
10328,50.425,-122.75,133.0640176600442,255,70.9713024282561
10329,50.425,-122.725,138.42572062084253,255,73.34589800443459
1033,49.125,-119.825,90.23841059602648,255,72.91390728476819
10330,50.425,-122.7,152.29735682819384,255,79.24008810572688
10331,50.425,-122.675,121.29867256637164,255,65.64380530973453
10332,50.425,-122.65,80.6916299559472,255,42.61894273127759
10333,50.425,-122.625,25.97797356828193,255,16.689427312775265
10334,50.425,-122.6,24.98008849557538,252,17.103982300884894
10335,50.425,-122.575,46.76821192052958,252,27.32450331125827
10336,50.425,-122.55,58.11633109619709,252,35.816554809843566
10337,50.425,-122.525,48.61318681318675,252,28.057142857142814
10338,50.425,-122.5,39.697309417040415,215,22.354260089686107
10339,50.425,-122.475,43.36423841059601,255,24.172185430463582
1034,49.125,-119.8,68.38274336283183,255,54.04646017699119
10340,50.425,-122.45,35.03111111111121,247,19.62888888888886
10341,50.425,-122.425,46.52549889135256,252,24.541019955654118
10342,50.425,-122.4,47.78807947019867,252,25.96247240618106
