lat,lon,Cropland,Mixed Forest,No data,Temperate or sub-polar broadleaf deciduous forest,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Urban and Built-up,Water,Wetland,Temperate or sub-polar grassland,Barren Lands,Snow and Ice,Sub-polar or polar grassland-lichen-moss,Sub-polar or polar barren-lichen-moss,Sub-polar taiga needleleaf forest,near_needle
49,-122.15,NA,0.01594896331738437,NA,0.02711323763955343,0.9322169059011164,0.011961722488038277,NA,NA,0.007974481658692184,0.004784688995215311,NA,NA,NA,NA,NA,TRUE
49,-122.125,NA,NA,NA,0.013502779984114376,0.857823669579031,0.11834789515488484,NA,NA,NA,0.004765687053216839,0.0023828435266084196,NA,0.003177124702144559,NA,NA,TRUE
49,-122.1,0.23933649289099526,0.00315955766192733,NA,0.5552922590837283,NA,0.07661927330173776,0.017377567140600316,0.020537124802527645,0.015007898894154818,0.07266982622432859,NA,NA,NA,NA,NA,FALSE
49,-122.075,NA,0.01593625498007968,NA,0.036653386454183264,0.9139442231075697,0.028685258964143426,NA,NA,NA,0.004780876494023904,NA,NA,NA,NA,NA,TRUE
49,-122.05,0.1553784860557769,0.006374501992031873,NA,0.4613545816733068,0.16812749003984065,0.026294820717131476,NA,0.1601593625498008,0.006374501992031873,0.01593625498007968,NA,NA,NA,NA,NA,TRUE
49,-122.025,0.4017501988862371,0.011137629276054098,NA,0.5091487669053302,NA,0.028639618138424822,0.008750994431185362,0.014319809069212411,0.015115354017501989,0.007159904534606206,0.003977724741447892,NA,NA,NA,NA,FALSE
49,-122,NA,NA,NA,NA,0.6842525979216627,0.1286970423661071,NA,NA,NA,0.07993605115907274,0.10711430855315747,NA,NA,NA,NA,TRUE
49,-121.975,NA,NA,NA,NA,0.6846703733121525,0.1691818903891978,7.942811755361397e-4,NA,NA,0.11596505162827642,0.02938840349483717,NA,NA,NA,NA,TRUE
49,-121.95,0.00397456279809221,NA,NA,0.0047694753577106515,0.2559618441971383,0.4093799682034976,NA,NA,NA,0.32591414944356123,NA,NA,NA,NA,NA,TRUE
49,-121.925,0.43764892772041303,0.022239872915011914,NA,0.30103256552819696,0.013502779984114376,0.019062748212867357,0.06354249404289118,0.12629070691024621,0.010325655281969817,0.006354249404289118,NA,NA,NA,NA,NA,TRUE
49,-121.9,NA,NA,NA,NA,0.8448687350835322,0.046141607000795545,NA,0.10898965791567224,NA,NA,NA,NA,NA,NA,NA,TRUE
